"time","Itr","Iqs","loadInertiaM.phi","loadInertiaM.w","loadInertiaMQS.phi","loadInertiaMQS.w","smpm.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpm.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smpm.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpm.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im"
0.1092,178.480293273965,9.59341222660952e-14,16.277337575903,178.781496712394,16.3676977252028,157.07963267949,-0.404351358889322,-0.213580866270927,-0.109132316944637,-0.513293039622096
0.10925,178.850286511283,9.59341222660952e-14,16.2862760072763,178.755739447024,16.3755517068368,157.07963267949,-0.404882958317036,-0.212943447693423,-0.101096773276986,-0.515019199928723
0.1093,179.22090276354,9.59341222660952e-14,16.2952131479854,178.729870177553,16.3834056884707,157.07963267949,-0.405413147357714,-0.212305025138283,-0.0930339590493775,-0.516619337826731
0.10935,179.592112682627,9.59341222660952e-14,16.3041489924345,178.70388907953,16.3912596701047,157.07963267949,-0.405941922099285,-0.211665604771483,-0.0849458514629825,-0.518093017795298
0.1094,179.963876427458,9.59341222660952e-14,16.313083535037,178.677796330329,16.3991136517387,157.07963267949,-0.406469278657297,-0.211025192782123,-0.0768344312201305,-0.519439828219147
0.10945,180.336181961144,9.59341222660952e-14,16.3220167702145,178.651592109987,16.4069676333727,157.07963267949,-0.406995213172702,-0.210383795398425,-0.068701694440388,-0.520659408011133
0.1095,180.709005962395,9.59341222660952e-14,16.330948692398,178.625276600334,16.4148216150066,157.07963267949,-0.407519721814697,-0.209741418871046,-0.0605496393615072,-0.521751419390352
0.10955,181.082325891416,9.59341222660952e-14,16.3398792960276,178.598849985264,16.4226755966406,157.07963267949,-0.408042800780201,-0.209098069478114,-0.0523802697971958,-0.522715556442834
0.1096,181.456120139264,9.59341222660952e-14,16.3488085755528,178.572312450734,16.4305295782746,157.07963267949,-0.408564446294124,-0.208453753525179,-0.0441955946711788,-0.523551545303519
0.10965,181.830368191949,9.59341222660952e-14,16.3577365254321,178.545664184767,16.4383835599086,157.07963267949,-0.409084654609635,-0.207808477345158,-0.0359976275512367,-0.524259144338228
0.1097,182.205023926961,9.59341222660952e-14,16.3666631401339,178.518905376854,16.4462375415425,157.07963267949,-0.409603422008866,-0.207162247286762,-0.027788379331778,-0.524838124705922
0.10975,182.580074275201,9.59341222660952e-14,16.3755884141357,178.492036219275,16.4540915231765,157.07963267949,-0.410120744802214,-0.206515069739797,-0.0195698728393065,-0.52528831369871
0.1098,182.955498665274,9.59341222660952e-14,16.3845123419251,178.465056906175,16.4619455048105,157.07963267949,-0.410636619329287,-0.205866951117328,-0.011344131793542,-0.5256095646475
0.10985,183.3312750979,9.59341222660952e-14,16.393434917999,178.437967633703,16.4697994864444,157.07963267949,-0.411151041959071,-0.20521789785824,-0.0031131818943018,-0.525801761550587
0.1099,183.707382436047,9.59341222660952e-14,16.4023561368645,178.410768600058,16.4776534680784,157.07963267949,-0.41166400909016,-0.204567916428088,0.00512094910885591,-0.525864820789368
0.10995,184.083800562004,9.59341222660952e-14,16.4112759930384,178.383460005493,16.4855074497124,157.07963267949,-0.41217551715103,-0.203917013319019,0.0133562318993342,-0.525798691262281
0.11,184.460498538513,9.59341222660952e-14,16.4201944810479,178.356042052043,16.4933614313464,157.07963267949,-0.412685562599909,-0.20326519504449,0.0215906382605377,-0.525603345353071
0.11005,184.837443591507,9.59341222660952e-14,16.4291115954299,178.328514943736,16.5012154129803,157.07963267949,-0.413194141925354,-0.202612468143202,0.0298221398728123,-0.525278786138511
0.1101,185.214623528549,9.59341222660952e-14,16.438027330732,178.300878887081,16.5090693946143,157.07963267949,-0.413701251647226,-0.201958839188517,0.0380487048107497,-0.524825064245696
0.11015,185.592016936363,9.59341222660952e-14,16.446941681512,178.273134090395,16.5169233762483,157.07963267949,-0.414206888315986,-0.201304314775345,0.0462683034964723,-0.524242255030751
0.1102,185.969603197479,9.59341222660952e-14,16.455854642338,178.245280764028,16.5247773578823,157.07963267949,-0.414711048513279,-0.200648901524361,0.0544789073798843,-0.523530466276121
0.11025,186.347362640415,9.59341222660952e-14,16.464766207789,178.21731912036,16.5326313395162,157.07963267949,-0.415213728852203,-0.199992606081899,0.0626784894332251,-0.522689838274933
0.1103,186.725276051994,9.59341222660952e-14,16.4736763724544,178.189249373785,16.5404853211502,157.07963267949,-0.415714925977524,-0.199335435119558,0.0708650247139559,-0.521720543400054
0.11035,187.103296741711,9.59341222660952e-14,16.4825851309343,178.161071740095,16.5483393027842,157.07963267949,-0.41621463656367,-0.198677395322092,0.07903649377164,-0.52062276423475
0.1104,187.48141848502,9.59341222660952e-14,16.4914924778399,178.13278643798,16.5561932844182,157.07963267949,-0.416712857320528,-0.198018493416575,0.0871908760424896,-0.519396747177904
0.11045,187.859620493229,9.59341222660952e-14,16.5003984077933,178.104393687795,16.5640472660521,157.07963267949,-0.417209584989182,-0.197358736148307,0.0953261561609402,-0.51804275867857
0.1105,188.237882709586,9.59341222660952e-14,16.5093029154276,178.075893711902,16.5719012476861,157.07963267949,-0.41770481634342,-0.1966981302873,0.103440322856492,-0.516561097364098
0.11055,188.616185952326,9.59341222660952e-14,16.5182059953874,178.047286734659,16.5797552293201,157.07963267949,-0.418198548189996,-0.196036682628138,0.111531369454957,-0.514952094073885
