"time","advancedSolenoid.armature.stopper_xMax.v_rel","advancedSolenoid.c_par1.v","advancedSolenoid.c_par2.v","advancedSolenoid.coil1.Phi","advancedSolenoid.coil2.Phi","advancedSolenoid.x","simpleSolenoid.armature.stopper_xMax.v_rel","simpleSolenoid.coil.Phi","simpleSolenoid.x"
0.04276,1.30921800215055e-05,6.00248820537419,5.99751179462581,-0.000147145779470716,-0.000138673734323191,0.000220379455343579,1.12750747840726e-05,-0.000140117454933117,0.000221807539502454
0.04277,1.30544973725216e-05,6.00248108630855,5.99751891369145,-0.000147146410120267,-0.000138674264093625,0.000220379324605766,1.12434979115996e-05,-0.000140117998368923,0.00022180742690598
0.04278,1.3016922064198e-05,6.00247398729163,5.99752601270837,-0.000147147038947773,-0.000138674792331847,0.000220379194245643,1.12120086198647e-05,-0.000140118540277188,0.000221807314625978
0.04279,1.29794536364506e-05,6.00246690821064,5.99753309178936,-0.000147147665963895,-0.000138675319046825,0.000220379064260959,1.11806065427186e-05,-0.000140119080666609,0.000221807202660613
0.0428,1.2942092230997e-05,6.0024598491003,5.9975401508997,-0.000147148291165585,-0.000138675844236014,0.000220378934652407,1.11492917929447e-05,-0.000140119619534704,0.00022180709101045
0.0428,1.2942092230997e-05,6.0024598491003,5.9975401508997,-0.000147148291165585,-0.000138675844236014,0.000220378934652407,1.11492917929447e-05,-0.000140119619534704,0.00022180709101045
0.04281,1.29048373634923e-05,6.0024528098516,5.9975471901484,-0.000147148914563142,-0.000138676367908078,0.000220378805417815,1.11180639851387e-05,-0.000140120156889879,0.000221806979673717
0.04282,1.28676884580185e-05,6.00244579035598,5.99755420964402,-0.000147149536166796,-0.000138676890071624,0.000220378676555024,1.10869226609166e-05,-0.000140120692740481,0.000221806868648652
0.04283,1.28306449782297e-05,6.0024387905302,5.9975612094698,-0.000147150155984406,-0.000138677410733267,0.000220378548062384,1.10558673934457e-05,-0.000140121227092927,0.000221806757933907
0.04284,1.2793706885811e-05,6.00243181036834,5.99756818963166,-0.000147150774016695,-0.000138677929893628,0.000220378419939776,1.10248981522352e-05,-0.000140121759947812,0.000221806647529387
0.04285,1.27568728706523e-05,6.00242484967042,5.99757515032958,-0.000147151390282231,-0.000138678447568315,0.00022037829218326,1.09940138939682e-05,-0.000140122291320291,0.000221806537431873
0.04286,1.27201431735093e-05,6.00241790847321,5.99758209152679,-0.000147152004777805,-0.00013867896375465,0.000220378164793559,1.09632148103714e-05,-0.00014012282120775,0.000221806427641957
0.04287,1.26835178861172e-05,6.00241098679069,5.99758901320931,-0.0001471526175023,-0.000138679478451708,0.000220378037770949,1.09325009744982e-05,-0.000140123349609283,0.000221806318159864
0.04288,1.2646997008476e-05,6.00240408462287,5.99759591537713,-0.000147153228455891,-0.000138679991659648,0.000220377911115431,1.09018723863488e-05,-0.000140123876525034,0.000221806208985593
