"time","Revolute1.phi","Revolute1.w","Revolute2.phi","Revolute2.w","Revolute3.phi","Revolute3.w","Revolute4.phi","Revolute4.w"
0.89562,7.95453289972896,17.7631872886448,7.95453289972896,17.7631872886448,7.95453289972896,17.7631872886448,7.95453289972896,17.7631872886448
0.89584,7.95844128090068,17.7675506360505,7.95844128090068,17.7675506360505,7.95844128090068,17.7675506360505,7.95844128090068,17.7675506360505
0.89606,7.96235062200882,17.7719139834562,7.96235062200882,17.7719139834562,7.96235062200882,17.7719139834562,7.96235062200882,17.7719139834562
0.89628,7.9662609230534,17.7762773308619,7.9662609230534,17.7762773308619,7.9662609230534,17.7762773308619,7.9662609230534,17.7762773308619
0.8965,7.9701721840344,17.7806406782676,7.9701721840344,17.7806406782676,7.9701721840344,17.7806406782676,7.9701721840344,17.7806406782676
0.89672,7.97408440495184,17.7850040256733,7.97408440495184,17.7850040256733,7.97408440495184,17.7850040256733,7.97408440495184,17.7850040256733
0.89694,7.9779975858057,17.789367373079,7.9779975858057,17.789367373079,7.9779975858057,17.789367373079,7.9779975858057,17.789367373079
0.89716,7.98191172659599,17.7937307204847,7.98191172659599,17.7937307204847,7.98191172659599,17.7937307204847,7.98191172659599,17.7937307204847
0.89738,7.98582682732271,17.7980940678905,7.98582682732271,17.7980940678905,7.98582682732271,17.7980940678905,7.98582682732271,17.7980940678905
0.8976,7.98974288798586,17.8024574152962,7.98974288798586,17.8024574152962,7.98974288798586,17.8024574152962,7.98974288798586,17.8024574152962
0.89782,7.99365990858544,17.8068207627019,7.99365990858544,17.8068207627019,7.99365990858544,17.8068207627019,7.99365990858544,17.8068207627019
0.89804,7.99757788912145,17.8111841101076,7.99757788912145,17.8111841101076,7.99757788912145,17.8111841101076,7.99757788912145,17.8111841101076
0.89826,8.00149682959389,17.8155474575133,8.00149682959389,17.8155474575133,8.00149682959389,17.8155474575133,8.00149682959389,17.8155474575133
0.89848,8.00541673000276,17.819910804919,8.00541673000276,17.819910804919,8.00541673000276,17.819910804919,8.00541673000276,17.819910804919
0.8987,8.00933759034805,17.8242741523247,8.00933759034805,17.8242741523247,8.00933759034805,17.8242741523247,8.00933759034805,17.8242741523247
0.89892,8.01325941062978,17.8286374997304,8.01325941062978,17.8286374997304,8.01325941062978,17.8286374997304,8.01325941062978,17.8286374997304
0.89914,8.01718219084794,17.8330008471361,8.01718219084794,17.8330008471361,8.01718219084794,17.8330008471361,8.01718219084794,17.8330008471361
0.89936,8.02110593100252,17.8373641945418,8.02110593100252,17.8373641945418,8.02110593100252,17.8373641945418,8.02110593100252,17.8373641945418
0.89958,8.02503063109354,17.8417275419476,8.02503063109354,17.8417275419476,8.02503063109354,17.8417275419476,8.02503063109354,17.8417275419476
0.8998,8.02895629112098,17.8460908893533,8.02895629112098,17.8460908893533,8.02895629112098,17.8460908893533,8.02895629112098,17.8460908893533
0.90002,8.03288291108485,17.850454236759,8.03288291108485,17.850454236759,8.03288291108485,17.850454236759,8.03288291108485,17.850454236759
0.90024,8.03681049098515,17.8548175841647,8.03681049098515,17.8548175841647,8.03681049098515,17.8548175841647,8.03681049098515,17.8548175841647
0.90046,8.04073903082188,17.8591809315704,8.04073903082188,17.8591809315704,8.04073903082188,17.8591809315704,8.04073903082188,17.8591809315704
0.90068,8.04466853059504,17.8635442789761,8.04466853059504,17.8635442789761,8.04466853059504,17.8635442789761,8.04466853059504,17.8635442789761
0.9009,8.04859899030463,17.8679076263818,8.04859899030463,17.8679076263818,8.04859899030463,17.8679076263818,8.04859899030463,17.8679076263818
0.90112,8.05253040995065,17.8722709737875,8.05253040995065,17.8722709737875,8.05253040995065,17.8722709737875,8.05253040995065,17.8722709737875
0.90134,8.0564627895331,17.8766343211932,8.0564627895331,17.8766343211932,8.0564627895331,17.8766343211932,8.0564627895331,17.8766343211932
0.90156,8.06039612905198,17.8809976685989,8.06039612905198,17.8809976685989,8.06039612905198,17.8809976685989,8.06039612905198,17.8809976685989
0.90178,8.06433042850728,17.8853610160047,8.06433042850728,17.8853610160047,8.06433042850728,17.8853610160047,8.06433042850728,17.8853610160047
0.902,8.06826568789902,17.8897243634104,8.06826568789902,17.8897243634104,8.06826568789902,17.8897243634104,8.06826568789902,17.8897243634104
0.90222,8.07220190722718,17.8940877108161,8.07220190722718,17.8940877108161,8.07220190722718,17.8940877108161,8.07220190722718,17.8940877108161
0.90244,8.07613908649178,17.8984510582218,8.07613908649178,17.8984510582218,8.07613908649178,17.8984510582218,8.07613908649178,17.8984510582218
0.90266,8.0800772256928,17.9028144056275,8.0800772256928,17.9028144056275,8.0800772256928,17.9028144056275,8.0800772256928,17.9028144056275
0.90288,8.08401632483025,17.9071777530332,8.08401632483025,17.9071777530332,8.08401632483025,17.9071777530332,8.08401632483025,17.9071777530332
0.9031,8.08795638390414,17.9115411004389,8.08795638390414,17.9115411004389,8.08795638390414,17.9115411004389,8.08795638390414,17.9115411004389
0.90332,8.09189740291445,17.9159044478446,8.09189740291445,17.9159044478446,8.09189740291445,17.9159044478446,8.09189740291445,17.9159044478446
