"time","zeta_TOT[1]","zeta_TOT[2]","zeta_TOT[3]","rho","input_mdot[1]","input_mdot[2]","input_mdot[3]","input_dp[1]","input_dp[2]","input_dp[3]","M_FLOW[1]","M_FLOW[2]","M_FLOW[3]","DP[1]","DP[2]","DP[3]","DP_plot[1]","DP_plot[2]","DP_plot[3]","input_DP.y"
0.0041,0.01,0.1,1,1.2,0.6404192682686,0.202518354518717,0.06404192682686,27.7037,27.7037,27.7037,0.6404192682686,0.202518354518717,0.06404192682686,27.7037,27.7037,27.7037,27.7037,27.7037,27.7037,27.7037
0.0042,0.01,0.1,1,1.2,0.648182209498543,0.204973212081582,0.0648182209498543,28.3794,28.3794,28.3794,0.648182209498543,0.204973212081582,0.0648182209498543,28.3794,28.3794,28.3794,28.3794,28.3794,28.3794,28.3794
0.0043,0.01,0.1,1,1.2,0.655853271891768,0.207399015005168,0.0655853271891768,29.0551,29.0551,29.0551,0.655853271891768,0.207399015005168,0.0655853271891768,29.0551,29.0551,29.0551,29.0551,29.0551,29.0551,29.0551
0.0044,0.01,0.1,1,1.2,0.663435642539547,0.209796771136226,0.0663435642539547,29.7308,29.7308,29.7308,0.663435642539547,0.209796771136226,0.0663435642539547,29.7308,29.7308,29.7308,29.7308,29.7308,29.7308,29.7308
0.0045,0.01,0.1,1,1.2,0.670932328430063,0.212167431367914,0.0670932328430063,30.4065,30.4065,30.4065,0.670932328430063,0.212167431367914,0.0670932328430063,30.4065,30.4065,30.4065,30.4065,30.4065,30.4065,30.4065
0.0046,0.01,0.1,1,1.2,0.67834617038302,0.2145118940463,0.067834617038302,31.0822,31.0822,31.0822,0.67834617038302,0.2145118940463,0.067834617038302,31.0822,31.0822,31.0822,31.0822,31.0822,31.0822,31.0822
0.0047,0.01,0.1,1,1.2,0.685679855627999,0.21683100894799,0.0685679855627999,31.7579,31.7579,31.7579,0.685679855627999,0.21683100894799,0.0685679855627999,31.7579,31.7579,31.7579,31.7579,31.7579,31.7579,31.7579
0.0048,0.01,0.1,1,1.2,0.692935929184479,0.21912558087881,0.0692935929184479,32.4336,32.4336,32.4336,0.692935929184479,0.21912558087881,0.0692935929184479,32.4336,32.4336,32.4336,32.4336,32.4336,32.4336,32.4336
0.0049,0.01,0.1,1,1.2,0.70011680418019,0.221396372936749,0.070011680418019,33.1093,33.1093,33.1093,0.70011680418019,0.221396372936749,0.0700116804180189,33.1093,33.1093,33.1093,33.1093,33.1093,33.1093,33.1093
0.005,0.01,0.1,1,1.2,0.70722477122638,0.223644109476688,0.070722477122638,33.785,33.785,33.785,0.70722477122638,0.223644109476688,0.070722477122638,33.785,33.785,33.785,33.785,33.785,33.785,33.785
