"time","gain.opAmp.out.v","gain.opAmp.out.i"
0.4085,-9.99800039991339,0.00499933346664001
0.409,-9.99800039991339,0.00499933346664001
0.4095,-9.99800039991339,0.00499933346664001
0.41,-9.99800039991339,0.00499933346664001
0.4105,-9.99800039991339,0.00499933346664001
0.411,-9.99800039991339,0.00499933346664001
0.4115,-9.99800039991339,0.00499933346664001
0.412,-9.99800039991339,0.00499933346664001
0.4125,-9.99800039991339,0.00499933346664001
0.413,-9.99800039991339,0.00499933346664001
0.4135,-9.99800039991339,0.00499933346664001
0.414,-9.99800039991339,0.00499933346664001
0.4145,-9.99800039991339,0.00499933346664001
0.415,-9.99800039991339,0.00499933346664001
0.41500000001,-9.99800039991339,0.00499933346664001
0.41500000001,-9.99800039991339,0.00499933346664001
0.4155,-9.49810038992638,0.00474936679830732
0.416,-8.99820036992072,0.00449940012497532
0.4165,-8.49830034992838,0.00424943345164335
0.417,-7.99840032993604,0.00399946677831135
0.4175,-7.49850030993704,0.00374950010497934
0.418,-6.9986002899447,0.00349953343164734
0.4185,-6.4987002699457,0.00324956675831534
0.419,-5.9988002499467,0.00299960008498334
0.4195,-5.49890022995436,0.00274963341165134
0.42,-4.99900020995536,0.00249966673831934
0.4205,-4.49910018996302,0.00224970006498734
0.421,-3.99920016996402,0.00199973339165534
0.4215,-3.49930014996835,0.00174976671832334
0.422,-2.99940012997268,0.00149980004499134
0.4225,-2.49950010997702,0.00124983337165934
0.423,-1.99960008998301,0.00099986669832734
0.4235,-1.49970006998568,0.00074990002499534
0.424,-0.99980004999084,0.000499933351663339
0.4245,-0.499900029993922,0.000249966678331339
0.425,-9.99801010717758e-09,4.99933832058681e-12
0.4255,0.499900009997833,-0.000249966668332662
0.426,0.999800029994335,-0.000499933341664663
0.4265,1.49970004999,-0.000749900014996663
0.427,1.99960006998567,-0.000999866688328664
0.4275,2.49950008998301,-0.00124983336166066
0.428,2.99940010997868,-0.00149980003499266
0.4285,3.49930012997435,-0.00174976670832467
0.429,3.99920014997002,-0.00199973338165667
0.4295,4.49910016996569,-0.00224970005498867
0.43,4.99900018996469,-0.00249966672832067
0.4305,5.49890020995702,-0.00274963340165267
0.431,5.99880022995603,-0.00299960007498467
0.4315,6.49870024994836,-0.00324956674831667
0.432,6.99860026994736,-0.00349953342164867
0.4325,7.4985002899397,-0.00374950009498067
0.433,7.99840030993204,-0.00399946676831267
0.4335,8.49830032993104,-0.00424943344164467
0.434,8.99820034992338,-0.00449940011497667
0.4345,9.49810036992904,-0.00474936678830867
0.435,9.9980003899347,-0.00499933346164067
0.43500000001,9.99800039991339,-0.00499933346664001
0.4355,9.99800039991339,-0.00499933346664001
0.436,9.99800039991339,-0.00499933346664001
0.4365,9.99800039991339,-0.00499933346664001
0.437,9.99800039991339,-0.00499933346664001
0.4375,9.99800039991339,-0.00499933346664001
0.438,9.99800039991339,-0.00499933346664001
0.4385,9.99800039991339,-0.00499933346664001
0.439,9.99800039991339,-0.00499933346664001
0.4395,9.99800039991339,-0.00499933346664001
0.44,9.99800039991339,-0.00499933346664001
0.4405,9.99800039991339,-0.00499933346664001
0.441,9.99800039991339,-0.00499933346664001
0.4415,9.99800039991339,-0.00499933346664001
0.442,9.99800039991339,-0.00499933346664001
0.4425,9.99800039991339,-0.00499933346664001
0.443,9.99800039991339,-0.00499933346664001
0.4435,9.99800039991339,-0.00499933346664001
0.444,9.99800039991339,-0.00499933346664001
0.4445,9.99800039991339,-0.00499933346664001
0.445,9.99800039991339,-0.00499933346664001
0.4455,9.99800039991339,-0.00499933346664001
0.446,9.99800039991339,-0.00499933346664001
0.4465,9.99800039991339,-0.00499933346664001
0.447,9.99800039991339,-0.00499933346664001
0.4475,9.99800039991339,-0.00499933346664001
0.448,9.99800039991339,-0.00499933346664001
0.4485,9.99800039991339,-0.00499933346664001
0.449,9.99800039991339,-0.00499933346664001
0.4495,9.99800039991339,-0.00499933346664001
0.45,9.99800039991339,-0.00499933346664001
0.4505,9.99800039991339,-0.00499933346664001
0.451,9.99800039991339,-0.00499933346664001
0.4515,9.99800039991339,-0.00499933346664001
0.452,9.99800039991339,-0.00499933346664001
0.4525,9.99800039991339,-0.00499933346664001
0.453,9.99800039991339,-0.00499933346664001
0.4535,9.99800039991339,-0.00499933346664001
0.454,9.99800039991339,-0.00499933346664001
