"time","T","eta","lambda","eta_der","lambda_der","eta2","lambda2","eta2_der","lambda2_der"
0.84537,2567.036,8.48160436274575e-05,0.135159890198793,7.35479458907431e-05,0.117677669161262,7.51273750189672e-05,0.126242746445771,5.31612259164593e-05,0.0964448741033204
0.845572,2567.6016,8.48309003125275e-05,0.135183661087963,7.35479458907431e-05,0.117677669161262,7.51381131710931e-05,0.126262227470135,5.31571121681663e-05,0.0964365557414006
0.845774,2568.1672,8.48457569975974e-05,0.135207431977134,7.35479458907431e-05,0.117677669161262,7.51488504923656e-05,0.126281706814493,5.31529996442359e-05,0.0964282403797769
0.845976,2568.7328,8.48606136826673e-05,0.135231202866305,7.35479458907431e-05,0.117677669161262,7.51595869830318e-05,0.12630118447945,5.31488883440341e-05,0.0964199280168498
0.846178,2569.2984,8.48754703677372e-05,0.135254973755475,7.35479458907431e-05,0.117677669161262,7.51703226433389e-05,0.126320660465613,5.31447782669273e-05,0.0964116186510202
0.84638,2569.864,8.48903270528072e-05,0.135278744644646,7.35479458907431e-05,0.117677669161262,7.51810574735339e-05,0.126340134773587,5.31406694122822e-05,0.0964033122806905
0.846582,2570.4296,8.49051837378771e-05,0.135302515533816,7.35479458907431e-05,0.117677669161262,7.51917914738638e-05,0.126359607403976,5.31365617794662e-05,0.0963950089042636
0.846784,2570.9952,8.4920040422947e-05,0.135326286422987,7.35479458907431e-05,0.117677669161262,7.52025246445751e-05,0.126379078357386,5.31324553678471e-05,0.096386708520144
0.846986,2571.5608,8.4934897108017e-05,0.135350057312157,7.35479458907431e-05,0.117677669161262,7.52132569859146e-05,0.12639854763442,5.3128350176793e-05,0.0963784111267363
0.847188,2572.1264,8.49497537930869e-05,0.135373828201328,7.35479458907431e-05,0.117677669161262,7.52239884981287e-05,0.126418015235682,5.31242462056728e-05,0.0963701167224465
0.84739,2572.692,8.49646104781568e-05,0.135397599090499,7.35479458907431e-05,0.117677669161262,7.52347191814637e-05,0.126437481161777,5.31201434538555e-05,0.0963618253056816
0.847592,2573.2576,8.49794671632268e-05,0.135421369979669,7.35479458907431e-05,0.117677669161262,7.52454490361661e-05,0.126456945413307,5.31160419207109e-05,0.0963535368748494
