"time","j2.s","j2.v"
0.5504,-0.123180316608549,2.08796121735977
0.5508,-0.122345216094033,2.08752826156086
0.5512,-0.121510309463898,2.08699183315729
0.5516,-0.120675637972388,2.08635248078888
0.552,-0.119841242647795,2.0856107494775
0.5524,-0.119007164293013,2.08476718050601
0.5528,-0.118173443486087,2.08382231129721
0.5532,-0.117340120580775,2.08277667529285
0.5536,-0.116507236184288,2.0816308548172
0.554,-0.115674830232909,2.08038537825634
0.5544,-0.114842942301777,2.0790407542725
0.5548,-0.114011611935654,2.07759750834798
0.5552,-0.113180878466998,2.07605616240196
0.5556,-0.112350781016955,2.07441723471852
0.556,-0.111521358496353,2.07268123987452
0.5564,-0.110692649606696,2.07084868866754
0.5568,-0.109864692841165,2.0689200880438
0.5572,-0.109037526668968,2.06689597459673
0.5576,-0.108211189247556,2.0647768616238
0.558,-0.107385718372913,2.06256322977075
0.5584,-0.106561151753293,2.06025557689453
0.5588,-0.105737526897914,2.05785439743045
0.5592,-0.104914881118155,2.05536018235813
0.5596,-0.104093251528767,2.05277341916738
0.56,-0.103272675049067,2.05009459182423
0.5604,-0.102453188404148,2.04732418073676
0.5608,-0.101634828142504,2.04446268136311
0.5612,-0.100817630620228,2.04151058487708
0.5616,-0.100001631975117,2.03846834739018
0.562,-0.0991868681717135,2.03533643965766
0.5624,-0.0983733749868341,2.03211532926266
0.5628,-0.0975611880107961,2.02880548060907
0.5632,-0.096750342648645,2.02540735491433
0.5636,-0.0959408741213792,2.02192141020228
0.564,-0.0951328174671772,2.01834810129599
0.5644,-0.0943262075247163,2.01468788973839
0.5648,-0.0935210789370699,2.01094124230396
0.5652,-0.092717466222823,2.00710859224573
0.5656,-0.0919154036948097,2.0031903850187
0.566,-0.0911149254884554,1.99918706324038
0.5664,-0.0903160655629678,1.99509906670311
0.5668,-0.0895188577025272,1.99092683238624
0.5672,-0.0887233355174791,1.98667079446839
0.5676,-0.0879295324455237,1.98233138433973
0.568,-0.0871374817352396,1.97790903585351
0.5684,-0.086347216419405,1.97340419360268
0.5688,-0.0855587694627151,1.96881726948222
0.5692,-0.0847721736148826,1.96414868661494
0.5696,-0.0839874614578645,1.95939886571321
0.57,-0.0832046654069988,1.95456822510669
0.5704,-0.0824238177121452,1.94965718077005
0.5708,-0.0816449504588231,1.9446661463507
0.5712,-0.0808680955693505,1.93959553319654
0.5716,-0.080093284785937,1.93444575246987
0.572,-0.0793205495558339,1.9292172285827
0.5724,-0.0785499214046579,1.92391035620177
0.5728,-0.0777814315949416,1.91852553987781
0.5732,-0.077015111229591,1.91306318224582
0.5736,-0.0762509912529207,1.90752368406483
0.574,-0.0754891024516873,1.90190744425769
0.5744,-0.0747294754561258,1.89621485995083
0.5748,-0.0739721407409828,1.89044632651405
0.5752,-0.0732171286238763,1.88460223772525
0.5756,-0.0724644689879117,1.87868299881243
0.576,-0.0717141920020055,1.87268899290252
0.5764,-0.0709663275001462,1.86662061009819
0.5768,-0.0702209051626188,1.86047823910262
0.5772,-0.0694779545168722,1.85426226726711
0.5776,-0.0687375049383878,1.84797308063876
0.578,-0.0679995856515446,1.84161106400796
0.5784,-0.0672642257304883,1.83517660095608
0.5788,-0.0665314540999976,1.82867007390304
0.5792,-0.0658012992402881,1.82209187069708
0.5796,-0.0650737898995223,1.81544236893708
0.58,-0.0643489545520747,1.80872194801008
0.5804,-0.0636268214964147,1.80193098699521
0.5808,-0.0629074188818535,1.79506986413934
0.5812,-0.0621907747092168,1.78813895690902
0.5816,-0.0614769168315171,1.78113864204241
0.582,-0.0607658729546244,1.77406929560116
0.5824,-0.0600576706379393,1.76693129302238
0.5828,-0.0593523370437364,1.75972501243213
0.5832,-0.0586498994928212,1.75245082749503
0.5836,-0.0579503851296714,1.74510911182054
0.584,-0.0572538208977859,1.73770023934349
0.5844,-0.0565602335934851,1.73022458368656
0.5848,-0.0558696498663878,1.72268251821468
0.5852,-0.0551820962198897,1.7150744160895
0.5856,-0.0544975990116427,1.70740065032378
0.586,-0.0538161844540314,1.69966159383588
0.5864,-0.0531378782787689,1.69185762054982
0.5868,-0.0524627063922178,1.68398910341105
0.5872,-0.0517906946485302,1.67605641514868
0.5876,-0.0511218686260248,1.66805992902755
0.588,-0.0504562537537022,1.66000001851029
0.5884,-0.0497938753114164,1.6518770573127
0.5888,-0.0491347584300434,1.64369141945916
0.5892,-0.0484789280916517,1.63544347933803
0.5896,-0.0478264091296729,1.627133611757
0.59,-0.0471772262290707,1.61876219199853
0.5904,-0.0465314039265118,1.61032959587523
0.5908,-0.045888966610535,1.60183619978523
0.5912,-0.045249938521722,1.59328238076759
0.5916,-0.0446143437528671,1.58466851655771
0.592,-0.0439822062491468,1.57599498564268
0.5924,-0.0433535498082908,1.56726216731671
0.5928,-0.042728398080751,1.55847044173651
0.5932,-0.0421067745698715,1.54962018997667
0.5936,-0.0414887024353912,1.54071177955102
0.594,-0.0408742047601872,1.53174558416823
0.5944,-0.0402633047904813,1.5227220015261
0.5948,-0.0396560254226347,1.51364141542795
0.5952,-0.039052389405117,1.50450421075121
0.5956,-0.0384524193386185,1.49531077349847
0.596,-0.0378561376761607,1.48606149084858
0.5964,-0.0372635667232084,1.47675675120769
0.5968,-0.0366747286377817,1.46739694426036
0.5972,-0.0360896454305666,1.45798246102064
0.5976,-0.0355083389650277,1.4485136938831
0.598,-0.0349308309575185,1.43899103667394
0.5984,-0.0343571429773941,1.42941488470205
0.5988,-0.0337872964471224,1.41978563481012
0.5992,-0.0332213126423951,1.41010368542565
0.5996,-0.0326592126922407,1.40036943661209
0.6,-0.0321010175791343,1.39058329011986
0.6004,-0.0315467481391102,1.38074564943747
0.6008,-0.0309964237977518,1.37085690024347
0.6012,-0.0304500614570126,1.36091739319695
0.6016,-0.0299076849389133,1.35092759040311
0.602,-0.0293693143116834,1.34088789997379
0.6024,-0.0288349694851798,1.33079873182065
0.6028,-0.0283046702106228,1.32066049770041
0.6032,-0.0277784360803301,1.31047361126007
0.6036,-0.027256286527454,1.30023848808215
0.604,-0.0267382408257158,1.28995554573
0.6044,-0.0262243180891415,1.27962520379294
0.6048,-0.0257145372717982,1.26924788393161
0.6052,-0.0252089171675283,1.25882400992314
0.6056,-0.0247074764096861,1.24835400770643
0.606,-0.0242102334708728,1.23783830542738
0.6064,-0.0237172066626719,1.22727733348414
0.6068,-0.0232284141353855,1.21667152457236
0.6072,-0.0227438738777688,1.20602131373043
0.6076,-0.0222636001896545,1.19532695612799
0.608,-0.021787612607303,1.18458898832517
0.6084,-0.0213159291067299,1.17380787712654
0.6088,-0.0208485668892375,1.16298406023081
0.6092,-0.0203855429844305,1.15211797744947
0.6096,-0.0199268742497079,1.14121007073935
0.61,-0.0194725773697516,1.13026078423525
0.6104,-0.0190226688560179,1.11927056428243
0.6108,-0.0185771650462277,1.10823985946926
0.6112,-0.0181360821038561,1.09716912065975
0.6116,-0.0176994360176234,1.08605880102613
0.612,-0.0172672426009853,1.07490935608143
0.6124,-0.0168395174916226,1.06372124371206
0.6128,-0.0164162741578716,1.05249467398016
0.6132,-0.0159975290159227,1.04123025168817
0.6136,-0.0155832972881918,1.02992845649095
0.614,-0.0151735938066068,1.01858974384558
0.6144,-0.0147684332180352,1.00721457089945
0.6148,-0.0143678299835763,0.995803396497984
0.6152,-0.013971798377853,0.984356681192327
0.6156,-0.0135803524883047,0.97287488724706
0.616,-0.0131935062144789,0.9613584786479
0.6164,-0.012811273267324,0.949807921109416
0.6168,-0.0124336671684814,0.938223682082749
0.6172,-0.0120607012495776,0.926606230763293
0.6176,-0.0116923886515167,0.914956038098434
0.618,-0.0113287435600348,0.903273402460533
0.6184,-0.0109697779596547,0.891558907304244
0.6188,-0.0106155044184143,0.879813028378858
0.6192,-0.0102659353730325,0.868036234440231
0.6196,-0.00992108307090402,0.856228995338656
0.62,-0.00958095956954814,0.844391782004288
0.6204,-0.00924557673605948,0.832525066432609
0.6208,-0.00891494624655827,0.820629321669885
0.6212,-0.00858907958563991,0.808705021798601
0.6216,-0.0082679880458253,0.796752641922919
0.622,-0.00795168272701126,0.784772658154141
0.6224,-0.00764017453591996,0.772765547596137
0.6228,-0.00733347418950928,0.760731788250266
0.6232,-0.00703159334028067,0.748671836095771
0.6236,-0.00673454153892427,0.736586186857551
0.624,-0.00644232897064507,0.724475320311225
0.6244,-0.00615496562938098,0.712339717057493
0.6248,-0.00587246131741649,0.700179858504294
0.6252,-0.00559482564499517,0.687996226848922
0.6256,-0.00532206802993287,0.675789305060174
0.626,-0.00505419769723102,0.663559576860494
0.6264,-0.00479122367868911,0.651307526708087
0.6268,-0.00453315481251827,0.639033639779082
0.6272,-0.00427999974295381,0.626738401949649
0.6276,-0.00403176691986847,0.614422299778138
0.628,-0.00378846460920788,0.602085815840064
0.6284,-0.00355010106396426,0.589729355126579
0.6288,-0.00331668401331971,0.57735346422611
0.6292,-0.00308822113657989,0.564958627629664
0.6296,-0.00286471991765025,0.552545330035829
0.63,-0.0026461876446813,0.540114056319134
0.6304,-0.00243263140971335,0.527665291498377
0.6308,-0.00222405810832205,0.515199520705001
0.6312,-0.00202047443926317,0.502717229151427
0.6316,-0.00182188690411786,0.490218902099407
0.632,-0.00162830180693796,0.477705024828392
0.6324,-0.00143972525389071,0.465176082603856
0.6328,-0.00125616315290436,0.452632560645676
0.6332,-0.00107762129792107,0.440074936424463
0.6336,-0.000904105905278486,0.427503630960495
0.634,-0.000735621772749232,0.414919175692023
0.6344,-0.000572174055084379,0.40232205141107
0.6348,-0.000413767710627763,0.389712738378816
0.6352,-0.000260407501089562,0.377091716282249
0.6356,-0.000112097991320339,0.364459464190854
0.636,3.11564509149475e-05,0.351816460513294
0.6364,0.000169351655163325,0.33916318295406
0.6368,0.000302483648509592,0.326500108470176
0.6372,0.000430548655802696,0.313827713227843
0.6376,0.000553543099881707,0.301146472559132
0.638,0.000671463601801827,0.28845686091866
0.6384,0.000784306762000491,0.275759367058829
0.6388,0.000892068496906256,0.263054540089411
0.6392,0.000994746860392028,0.250342793437543
0.6396,0.00109233919328672,0.237624602849621
0.64,0.00118484302951039,0.224900443412548
0.6404,0.00127225609607756,0.212170789525871
0.6408,0.00135457631310021,0.199436114873974
0.6412,0.00143180179379107,0.186696892398208
0.6416,0.00150393084446677,0.173953594269073
0.642,0.00157096196455087,0.161206691858386
0.6424,0.00163289384657723,0.148456655711417
0.6428,0.00168972537619298,0.135703955519083
0.6432,0.00174145563216182,0.122949060090087
0.6436,0.00178808370023353,0.110192467694771
0.644,0.00182960842332262,0.0974347468014992
0.6444,0.00186602995768569,0.0846762821256705
0.6448,0.00189734810648477,0.0719175465172314
0.6452,0.00192356286203134,0.0591590124546249
0.6456,0.00194467440564776,0.0464011520400789
0.646,0.00196068310752876,0.0336444369948953
0.6464,0.00197158952660299,0.0208893386547031
0.6468,0.00197739441039446,0.0081363279647653
0.6472,0.00197809869488409,-0.0046141245247681
0.6476,0.00197370350437115,-0.017361548663571
0.648,0.00196421015133481,-0.0301054747058525
0.6484,0.00194962016801151,-0.0428453471076084
0.6488,0.00192993524985663,-0.0555806778325214
0.6492,0.00190515725663772,-0.0683110430089047
0.6496,0.00187528825572906,-0.0810359648780687
0.65,0.00184033050229519,-0.0937549652862222
0.6504,0.00180028643916342,-0.106467565659205
0.6508,0.00175515869669634,-0.119173286977187
0.6512,0.00170495009266445,-0.131871649749365
0.6516,0.00164966363211857,-0.144562173988694
0.652,0.00158930250726251,-0.157244379186571
0.6524,0.00152387009732548,-0.169917784287568
0.6528,0.00145336996843473,-0.182581907664124
0.6532,0.00137780557342463,-0.195236964619818
0.6536,0.00129718105810196,-0.20788206026826
0.654,0.00121150056893372,-0.220516696094847
0.6544,0.00112076841858505,-0.233140423040278
0.6548,0.0010249891074588,-0.245752793373602
0.6552,0.000924167323695594,-0.258353360692201
0.6556,0.000818307943173638,-0.270941679921816
0.656,0.00070741560718342,-0.283517270996956
0.6564,0.000591495334757786,-0.296079671520694
0.6568,0.000470552811053601,-0.308628461565198
0.6572,0.000344593597845197,-0.321163195774931
0.6576,0.000213623440656511,-0.33368342977976
0.658,7.76482687613653e-05,-0.346188720194923
0.6584,-6.33258048167835e-05,-0.358678624621051
0.6588,-0.000209292529184727,-0.371152682426661
0.6592,-0.000360245808308276,-0.383610292134291
0.6596,-0.000516178763343868,-0.396051104176945
0.66,-0.000677084587333246,-0.408474662896402
0.6604,-0.000842956292546942,-0.420880512372293
0.6608,-0.00101378671048415,-0.433268196422086
0.6612,-0.00118956849187257,-0.44563725860108
0.6616,-0.00137029410666878,-0.457987242202423
0.662,-0.00155595578557391,-0.470317703081656
0.6624,-0.00174654563858582,-0.482628183660249
0.6628,-0.00194205560264574,-0.494918224405801
0.6632,-0.0021424774156794,-0.507187369524354
0.6636,-0.00234780263417004,-0.51943516310702
0.664,-0.002558022633158,-0.53166114912995
0.6644,-0.00277312860624109,-0.543864871454365
0.6648,-0.00299311157821523,-0.556045897185592
0.6652,-0.00321796240708873,-0.568203820395596
0.6656,-0.0034476717257503,-0.580338154330038
0.666,-0.00368223000665018,-0.592448450933956
0.6664,-0.00392162754115387,-0.604534262698544
0.6668,-0.00416585443954191,-0.616595142661147
0.6672,-0.0044149006310097,-0.628630644405241
0.6676,-0.00466875586366799,-0.640640322060469
0.668,-0.00492740982261213,-0.652623755362783
0.6684,-0.00519085184556945,-0.664580489300871
0.6688,-0.00545907114219904,-0.676510080662295
0.6692,-0.00573205675001361,-0.688412088677999
0.6696,-0.00600979752645745,-0.700286073340779
0.67,-0.00629228214890581,-0.712131595405256
0.6704,-0.00657949911466545,-0.7239482163879
0.6708,-0.00687143696146266,-0.735735522926867
0.6712,-0.0071680839714725,-0.747493094082755
0.6716,-0.00746942798803802,-0.759220481089453
0.672,-0.00777545683653429,-0.770917253851824
0.6724,-0.00808615816595205,-0.78258298344361
0.6728,-0.00840151944889751,-0.794217242107426
0.6732,-0.00872152798159205,-0.805819603254747
0.6736,-0.00904617091811069,-0.817389641445836
0.674,-0.00937543551635525,-0.828926932245353
0.6744,-0.00970930840436805,-0.84043105265299
0.6748,-0.01004777622859,-0.85190158072299
0.6752,-0.0103908254668574,-0.863338095673887
0.6756,-0.0107384424288627,-0.874740177888261
0.676,-0.0110906132566139,-0.886107408912457
0.6764,-0.0114473239248938,-0.897439371456302
0.6768,-0.0118085602422882,-0.90873565686003
0.6772,-0.0121743078505556,-0.919995850762612
0.6776,-0.0125445522255199,-0.93121953878354
0.678,-0.012919278677805,-0.942406310151196
0.6784,-0.0132984723531281,-0.953555755505292
0.6788,-0.0136821182327605,-0.964667466910849
0.6792,-0.0140702011339882,-0.975741037872123
