"time","inductor.i","meanCurrent.x","meanVoltage.x","rootMeanSquareVoltage.mean.x","meanCurrent.y","meanVoltage.y","pulse2.twoPulse.timerNegative[1].entryTime","pulse2.twoPulse.timerPositive[1].entryTime","rectifier.thyristor_n.off","rectifier.thyristor_p.off","rootMeanSquareVoltage.mean.y"
0.0584,7.15894972688855,0.0564891936875915,0.796416184635781,117.89966166862,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.0585,7.16390576984592,0.0572053401460366,0.803695156762051,118.429648976477,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.0586,7.16841692990481,0.0579219600157134,0.810538714214479,118.898149054844,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.0587,7.17247734955395,0.0586390085108233,0.816940103765818,119.308089731104,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.0588,7.17608161803907,0.059356440283629,0.822893007707053,119.662627594934,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.0589,7.17922477782845,0.0600742094673783,0.828391551171413,119.965138712574,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.059,7.18190232981683,0.060792269721752,0.833430308247273,120.219205530207,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.0591,7.18411023568552,0.0615105742813625,0.838004305308169,120.428598732769,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.0592,7.18584492564013,0.0622290759977256,0.842109029590039,120.597269669373,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.0593,7.18710329723207,0.0629477273914305,0.845740429056076,120.72932586519,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.0594,7.18788272313484,0.0636664806943045,0.848894921016334,120.829023293062,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.0595,7.18818104943502,0.0643852879009193,0.851569391448808,120.900742335925,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.0596,7.18799660139463,0.0651041008130697,0.853761201651432,120.948976291887,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.0597,7.18732818239082,0.0658228710898078,0.855468188182381,120.978309509103,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.0598,7.18617507656173,0.0665415502941537,0.85668866644021,120.993401680831,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.0599,7.184537049619,0.0672600899415865,0.857421432446131,120.998968854233,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.06,7.18241434878378,0.0679784415481613,0.857665763742407,120.999764878137,6.02504118339015,85.7665852605192,0.05,0.04000000000002,0,1,12099.9776991159
0.06,7.18241434878378,0,0,0,6.79784415481613,85.7665763742407,0.05,0.06,0,1,12099.9764878137
0.0601,7.17980770096183,0.00071811512961606,-0.000244345229628913,0.000796167445108366,6.79784415481613,85.7665763742407,0.05,0.06,0,1,12099.9764878137
0.0602,7.17671831414136,0.00143594544727156,-0.000977125696996814,0.00636438543482939,6.79784415481613,85.7665763742407,0.05,0.06,0,1,12099.9764878137
0.0603,7.17314787395599,0.00215344275745792,-0.00219761967863287,0.0214581586355223,6.79784415481613,85.7665763742407,0.05,0.06,0,1,12099.9764878137
0.0604,7.16909854569941,0.00287055905904466,-0.00390462190348217,0.050793296071394,6.79784415481613,85.7665763742407,0.05,0.06,0,1,12099.9764878137
0.0605,7.16457296919109,0.00358724659140346,-0.0060964477646232,0.0990293327707984,6.79784415481613,85.7665763742407,0.05,0.06,0,1,12099.9764878137
0.0606,7.15957425687702,0.00430345788132865,-0.00877093428019201,0.170751245603,6.79784415481613,85.7665763742407,0.05,0.06,0,1,12099.9764878137
0.0607,7.15410599118406,0.0050191457904768,-0.0119254417901923,0.270451281626063,6.79784415481613,85.7665763742407,0.05,0.06,0,1,12099.9764878137
0.0608,7.14817222035733,0.00573426356213408,-0.0155568571837716,0.40251127109847,6.79784415481613,85.7665763742407,0.05,0.06,0,1,12099.9764878137
0.0609,7.1417774545939,0.00644876486748583,-0.0196615968401734,0.571185345219587,6.79784415481613,85.7665763742407,0.05,0.06,0,1,12099.9764878137
0.061,7.13492666185727,0.00716260385161492,-0.0242356098942129,0.780583146067104,6.79784415481613,85.7665763742407,0.05,0.06,0,1,12099.9764878137
0.0611,7.12762526289292,0.00787573517909912,-0.0292743823088849,1.03465359977016,6.79784415481613,85.7665763742407,0.05,0.06,0,1,12099.9764878137
0.0612,7.11987912577827,0.00858811407902456,-0.0347729414250267,1.33716932608635,6.79784415481613,85.7665763742407,0.05,0.06,0,1,12099.9764878137
0.0613,7.11169456014054,0.00929969638941156,-0.0407258608550166,1.69171174866873,6.79784415481613,85.7665763742407,0.05,0.06,0,1,12099.9764878137
0.0614,7.10307831096796,0.0100104386010523,-0.0471272657947876,2.10165696905405,6.79784415481613,85.7665763742407,0.05,0.06,0,1,12099.9764878137
0.0615,7.09403755194255,0.0107202979007335,-0.0539708388265677,2.57016243810046,6.79784415481613,85.7665763742407,0.05,0.06,0,1,12099.9764878137
0.0616,7.08457987832769,0.0114292322137424,-0.0612498261812536,3.10015451072215,6.79784415481613,85.7665763742407,0.05,0.06,0,1,12099.9764878137
0.0616666666666668,7.07804708180598,0.0119013207819505,-0.06634085133881,3.48897736308845,6.79784415481613,85.7665763742407,0.05,0.06,0,1,12099.9764878137
0.0616666666666668,7.07804708180598,0.0119013207819505,-0.06634085133881,3.48897736308845,6.79784415481613,85.7665763742407,0.05,0.06,1,0,12099.9764878137
0.0617,7.07994394080608,0.012137287179497,-0.0637246643877686,3.69431650916924,6.79784415481613,85.7665763742407,0.05,0.06,1,0,12099.9764878137
0.0618,7.08590598696423,0.0128455762999542,-0.0555968358204727,4.35507675820195,6.79784415481613,85.7665763742407,0.05,0.06,1,0,12099.9764878137
0.0619,7.09226831075684,0.0135544817162238,-0.0470564037024675,5.08460543654157,6.79784415481613,85.7665763742407,0.05,0.06,1,0,12099.9764878137
0.062,7.09902169280426,0.014264042996691,-0.0381117960457041,5.88479866254701,6.79784415481613,85.7665763742407,0.05,0.06,1,0,12099.9764878137
0.0621,7.10615653321462,0.0149742987681882,-0.0287718402054017,6.75727325972565,6.79784415481613,85.7665763742407,0.05,0.06,1,0,12099.9764878137
0.0622,7.11366286145782,0.0156852866821667,-0.0190457536826327,7.70336156322111,6.79784415481613,85.7665763742407,0.05,0.06,1,0,12099.9764878137
0.0623,7.12153034635731,0.0163970433741498,-0.00894313494347742,8.72410521227592,6.79784415481613,85.7665763742407,0.05,0.06,1,0,12099.9764878137
0.0624,7.12974830602697,0.0171096044288782,0.0015260458207445,9.82025115110277,6.79784415481613,85.7665763742407,0.05,0.06,1,0,12099.9764878137
0.0625,7.13830571832261,0.0178230043464501,0.0123514564678303,10.9922487438291,6.79784415481613,85.7665763742407,0.05,0.06,1,0,12099.9764878137
0.0626,7.14719123204666,0.0185372765078544,0.0235224134199615,12.2402479565792,6.79784415481613,85.7665763742407,0.05,0.06,1,0,12099.9764878137
0.0627,7.15639317844677,0.0192524531418367,0.0350278924997116,13.5640988516868,6.79784415481613,85.7665763742407,0.05,0.06,1,0,12099.9764878137
0.0628,7.16589958241019,0.0199685652943394,0.0468565395131883,14.9633520634883,6.79784415481613,85.7665763742407,0.05,0.06,1,0,12099.9764878137
0.0629,7.17569817392899,0.0206856427993407,0.0589966811320193,16.4372605318262,6.79784415481613,85.7665763742407,0.05,0.06,1,0,12099.9764878137
0.063,7.18577640008314,0.0214037142507357,0.0714363363140614,17.9847826929168,6.79784415481613,85.7665763742407,0.05,0.06,1,0,12099.9764878137
0.0631,7.19612143779874,0.0221228069734837,0.084163228484619,19.6045865243962,6.79784415481613,85.7665763742407,0.05,0.06,1,0,12099.9764878137
0.0632,7.20672020660618,0.022842946996801,0.0971647977584071,21.2950547488229,6.79784415481613,85.7665763742407,0.05,0.06,1,0,12099.9764878137
0.0633,7.21755938142685,0.0235641590292999,0.110428213229055,23.054291179646,6.79784415481613,85.7665763742407,0.05,0.06,1,0,12099.9764878137
0.0634,7.22862540560109,0.0242864664355121,0.123940385527539,24.8801282146814,6.79784415481613,85.7665763742407,0.05,0.06,1,0,12099.9764878137
0.0635,7.23990450425063,0.0250098912134594,0.137687979736024,26.7701354145301,6.79784415481613,85.7665763742407,0.05,0.06,1,0,12099.9764878137
0.0636,7.2513826979127,0.0257344539733802,0.151657428596514,28.7216291011115,6.79784415481613,85.7665763742407,0.05,0.06,1,0,12099.9764878137
0.0637,7.26304581636782,0.0264601739178578,0.165834945941191,30.7316829585217,6.79784415481613,85.7665763742407,0.05,0.06,1,0,12099.9764878137
