"time","prismatic.s","prismatic.v"
0.672,0.3,-1.71860472717957e-16
0.673,0.3,-1.7163244648598e-16
0.674,0.3,-1.71402354970104e-16
0.675,0.3,-1.71170198170331e-16
0.676,0.3,-1.70935976086659e-16
0.677,0.3,-1.7069968871909e-16
0.678,0.3,-1.70461336067623e-16
0.679,0.3,-1.70220918132257e-16
0.68,0.3,-1.69978434912994e-16
0.681,0.3,-1.69733886409833e-16
0.682,0.3,-1.69487272622773e-16
0.683,0.3,-1.69238593551816e-16
0.684,0.3,-1.68987849196961e-16
0.685,0.3,-1.68735039558208e-16
0.686,0.3,-1.68480164635556e-16
0.687,0.3,-1.68223224429007e-16
0.688,0.3,-1.6796421893856e-16
0.689,0.3,-1.67703148164215e-16
0.69,0.3,-1.67440012105971e-16
0.691,0.3,-1.6717481076383e-16
0.692,0.3,-1.66907544137791e-16
0.693,0.3,-1.66638212227854e-16
0.694,0.3,-1.66366815034019e-16
0.695,0.3,-1.66093352556286e-16
0.696,0.3,-1.65817824794654e-16
