"time","x","sqrtx","sqrtx_a","x2","x2_a","x3","x3_a","sqrtxerr","x2err","x3err"
0.956066,0.956066001,0.977786275726961,0.977759534674058,0.914062198268132,0.914112196900685,0.873903790563482,0.873999397163582,-2.73485664162004e-05,5.46993767467828e-05,0.000109401745515201
0.956268,0.956268001,0.977889564828258,0.97786283224722,0.914448489736536,0.914498488369667,0.874457829297826,0.874553456097926,-2.73370143211844e-05,5.46762706612423e-05,0.000109355530817064
0.95647,0.956470001,0.977992843020847,0.977966118907201,0.91483486281294,0.914884861446648,0.875012102149528,0.875107749149628,-2.73254695439079e-05,5.4653179213327e-05,0.000109309345396531
0.956672,0.956672001,0.978096110308184,0.978069394657462,0.915221317497344,0.915271316131629,0.87556660916804,0.87566227636814,-2.73139320780513e-05,5.4630102390433e-05,0.00010926318922875
0.956874,0.956874001,0.978199366693723,0.978172659501457,0.915607853789748,0.915657852424609,0.876121350402819,0.876217037802919,-2.73024019177525e-05,5.46070401803335e-05,0.000109217062289402
0.957076,0.957076001,0.978302612180914,0.978275913442644,0.915994471690152,0.916044470325589,0.876676325903318,0.876772033503418,-2.72908790565848e-05,5.45839925705722e-05,0.000109170964553307
0.957278,0.957278001,0.978405846773209,0.978379156484476,0.916381171198556,0.916431169834569,0.877231535718993,0.877327263519093,-2.72793634884657e-05,5.45609595489481e-05,0.000109124895996325
0.95748,0.957480001,0.978509070474055,0.978482388630403,0.91676795231496,0.916817950951548,0.877786979899296,0.877882727899396,-2.72678552072023e-05,5.45379411031522e-05,0.000109078856593329
0.957682,0.957682001,0.9786122832869,0.978585609883876,0.917154815039364,0.917204813676528,0.878342658493683,0.878438426693783,-2.72563542067184e-05,5.45149372208882e-05,0.00010903284632023
0.957884,0.957884001,0.978715485215188,0.978688820248342,0.917541759371768,0.917591758009507,0.878898571551608,0.878994359951708,-2.72448604808279e-05,5.44919478898729e-05,0.000108986865152079
0.958086,0.958086001,0.978818676262361,0.978792019727249,0.917928785312172,0.917978783950485,0.879454719122526,0.879550527722626,-2.72333740234611e-05,5.44689730977152e-05,0.000108940913064459
0.958288,0.958288001,0.97892185643186,0.978895208324039,0.918315892860576,0.918365891499463,0.880011101255892,0.880106930055992,-2.72218948284385e-05,5.44460128322787e-05,0.000108894990032855
0.95849,0.958490001,0.979025025727126,0.978998386042157,0.91870308201698,0.91875308065644,0.880567718001158,0.880663567001258,-2.72104228895835e-05,5.4423067081319e-05,0.000108849096032647
0.958692,0.958692001,0.979128184151595,0.979101552885041,0.919090352781384,0.919140351421417,0.881124569407781,0.881220438607881,-2.719895820095e-05,5.4400135832363e-05,0.000108803231039749
0.958894,0.958894001,0.979231331708703,0.979204708856132,0.919477705153788,0.919527703794395,0.881681655525214,0.881777544925314,-2.71875007562546e-05,5.43772190736754e-05,0.000108757395029216
0.959096,0.959096001,0.979334468401884,0.979307853958865,0.919865139134192,0.919915137775371,0.882238976402912,0.882334886003012,-2.71760505495575e-05,5.43543167925672e-05,0.000108711587977013
0.959298,0.959298001,0.979437594234569,0.979410988196678,0.920252654722596,0.920302653364347,0.882796532090329,0.882892461890429,-2.71646075746954e-05,5.43314289773286e-05,0.000108665809858625
0.9595,0.959500001,0.979540709210189,0.979514111573002,0.920640251919,0.920690250561323,0.883354322636921,0.883450272637021,-2.71531718255083e-05,5.43085556152966e-05,0.000108620060649689
0.959702,0.959702001,0.979643813332172,0.979617224091269,0.921027930723404,0.921077929366298,0.88391234809214,0.88400831829224,-2.71417432959527e-05,5.42856966944248e-05,0.000108574340325868
0.959904,0.959904001,0.979746906603945,0.97972032575491,0.921415691135808,0.921465689779273,0.884470608505442,0.884566598905542,-2.71303219799885e-05,5.42628522029205e-05,0.000108528648862851
0.960106,0.960106001,0.979849989028933,0.979823416567353,0.921803533156212,0.921853531800248,0.885029103926282,0.885125114526382,-2.71189078714654e-05,5.42400221281598e-05,0.000108482986236226
0.960308,0.960308001,0.979953060610558,0.979926496532022,0.922191456784616,0.922241455429223,0.885587834404112,0.885683865204212,-2.71075009643497e-05,5.42172064582549e-05,0.000108437352422109
0.96051,0.960510001,0.980056121352242,0.980029565652344,0.92257946202102,0.922629460666197,0.886146799988389,0.886242850988489,-2.70961012527242e-05,5.419440518121e-05,0.000108391747395764
