"time","n_nt[1]","n_nt[2]","n_nt[3]","cp[1]","cp[2]","cp[3]","eta[1]","eta[2]","eta[3]","lambda[1]","lambda[2]","lambda[3]","rho[1]","rho[2]","rho[3]","Nu[1]","Nu[2]","Nu[3]","m_flow_1[1]","m_flow_1[2]","m_flow_1[3]","m_flow_2[1]","m_flow_2[2]","m_flow_2[3]","m_flow_3[1]","m_flow_3[2]","m_flow_3[3]","kc_1[1]","kc_1[2]","kc_1[3]","kc_2[1]","kc_2[2]","kc_2[3]","kc_3[1]","kc_3[2]","kc_3[3]","Re_1[1]","Re_1[2]","Re_1[3]","Re_2[1]","Re_2[2]","Re_2[3]","Re_3[1]","Re_3[2]","Re_3[3]","input_Nu.y"
0.388648,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,36.09184,36.09184,36.09184,0.00415132249579118,0.0634357251479248,0.448969827936777,0.00230040010984669,0.0377254209046889,0.311276759779857,0.00169820329986558,0.0288355597493103,0.256595063339605,92.71993696,2160.096624,1396.754208,92.71993696,2160.096624,1396.754208,92.71993696,2160.096624,1396.754208,28978.2234900768,8063.98500472131,501.443981861444,16057.8968671597,4795.67669105716,347.657789393633,11854.2741030077,3665.59254866169,286.585071603341,36.09184
0.38885,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,36.108,36.108,36.108,0.00415480011081089,0.0634888660520064,0.449345935603337,0.00230222070328676,0.0377552777341721,0.311523111892463,0.00169950859667783,0.0288577237412324,0.256792291032097,92.761452,2161.0638,1397.3796,92.761452,2161.0638,1397.3796,92.761452,2161.0638,1397.3796,29002.4989120311,8070.74030629076,501.86404778613,16070.6054831837,4799.47210798791,347.932934351264,11863.3857012477,3668.41004776156,286.805350636146,36.108
0.389052,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,36.12416,36.12416,36.12416,0.00415827890537938,0.0635420249805927,0.449722170839319,0.00230404183003318,0.0377851433096149,0.311769536168982,0.00170081424612423,0.0288798937208964,0.256989572006893,92.80296704,2162.030976,1398.004992,92.80296704,2162.030976,1398.004992,92.80296704,2162.030976,1398.004992,29026.7825678019,8077.49789914539,502.284256190143,16083.317821942,4803.26863670996,348.208159907094,11872.4997610433,3671.22830802656,287.02568917872,36.12416
0.389254,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,36.14032,36.14032,36.14032,0.00416175887930927,0.0635952019308207,0.450098533624459,0.00230586348997658,0.0378150176292239,0.312016032594615,0.00170212024812446,0.0289020696869384,0.257186906251854,92.84448208,2162.998152,1398.630384,92.84448208,2162.998152,1398.630384,92.84448208,2162.998152,1398.630384,29051.0744560815,8084.25778292121,502.704607050851,16096.0338826711,4807.06627699533,348.483466044596,11881.6162818338,3674.04732928328,287.246087217505,36.14032
0.389456,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,36.15648,36.15648,36.15648,0.00416524003241333,0.0636483968998288,0.450475023938505,0.00230768568300768,0.0378449006912068,0.312262601154574,0.00170342660259822,0.0289242516379951,0.25738429375485,92.88599712,2163.965328,1399.255776,92.88599712,2163.965328,1399.255776,92.88599712,2163.965328,1399.255776,29075.3745755626,8091.01995725449,503.125100345635,16108.7536646083,4810.86502861617,348.758852747253,11890.7352630588,3676.86711135844,287.466544738953,36.15648
0.389658,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,36.17264,36.17264,36.17264,0.00416872236450442,0.0637016098847579,0.450851641761221,0.00230950840901728,0.0378747924937726,0.312509241834083,0.00170473330946529,0.0289464395727043,0.257581734503757,92.92751216,2164.932504,1399.881168,92.92751216,2164.932504,1399.881168,92.92751216,2164.932504,1399.881168,29099.6829249391,8097.78442178176,503.545736051893,16121.4771669912,4814.66489134482,349.03431999856,11899.8567041582,3679.68765407886,287.687061729524,36.17264
0.38986,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,36.1888,36.1888,36.1888,0.00417220587539554,0.0637548408827502,0.451228387072381,0.00231133166789623,0.0379046930351315,0.312755954618372,0.00170604036864552,0.0289686334897048,0.257779228486466,92.9690272,2165.89968,1400.50656,92.9690272,2165.89968,1400.50656,92.9690272,2165.89968,1400.50656,29123.9995029057,8104.55117613974,503.966514147035,16134.2043890579,4818.46586495377,349.309867782024,11908.9806045725,3682.50895727152,287.907638175692,36.1888
0.390062,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,36.20496,36.20496,36.20496,0.00417569056489981,0.0638080898909502,0.451605259851774,0.00231315545953547,0.0379346023134951,0.313002739492685,0.00170734778005879,0.0289908333876365,0.25797677569087,93.01054224,2166.866856,1401.131952,93.01054224,2166.866856,1401.131952,93.01054224,2166.866856,1401.131952,29148.3243081576,8111.32021996543,504.387434608489,16146.9353300472,4822.26794921565,349.585496081162,11918.1069637425,3685.3310207635,288.128274063937,36.20496
0.390264,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,36.22112,36.22112,36.22112,0.00417917643283048,0.0638613569065039,0.451982260079203,0.00231497978382604,0.0379645203270761,0.313249596442275,0.00170865554362505,0.0290130392651401,0.258174376104876,93.05205728,2167.834032,1401.757344,93.05205728,2167.834032,1401.757344,93.05205728,2167.834032,1401.757344,29172.6573393915,8118.09155289604,504.808497413697,16159.6699891983,4826.07114390328,349.861204879505,11927.2357811095,3688.15384438203,288.348969380751,36.22112
0.390466,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,36.23728,36.23728,36.23728,0.00418266347900091,0.0639146419265594,0.452359387734482,0.00231680464065901,0.0379944470740886,0.313496525452407,0.00170996365926433,0.0290352511208574,0.258372029716396,93.09357232,2168.801208,1402.382736,93.09357232,2168.801208,1402.382736,93.09357232,2168.801208,1402.382736,29196.9985953043,8124.86517456904,505.229702540113,16172.4083657511,4829.87544878961,350.136994160594,11936.367056115,3690.97742795443,288.569724112635,36.23728
0.390668,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,36.25344,36.25344,36.25344,0.00418615170322459,0.0639679449482668,0.45273664279744,0.00231863002992557,0.0380243825527477,0.313743526508353,0.00171127212689667,0.0290574689534311,0.258569736513354,93.13508736,2169.768384,1403.008128,93.13508736,2169.768384,1403.008128,93.13508736,2169.768384,1403.008128,29221.3480745943,8131.64108462212,505.651049965209,16185.1504589458,4833.68086364778,350.412863907983,11945.5007882011,3693.80177130818,288.7905382461,36.25344
0.39087,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,36.2696,36.2696,36.2696,0.00418964110531512,0.0640212659687777,0.453114025247918,0.00232045595151696,0.0380543267612702,0.313990599595399,0.00171258094644221,0.0290796927615049,0.25876749648368,93.1766024,2170.73556,1403.63352,93.1766024,2170.73556,1403.63352,93.1766024,2170.73556,1403.63352,29245.7057759602,8138.41928269322,506.07253966647,16197.8962680233,4837.48738825107,350.688814105234,11954.6369768103,3696.62687427086,289.011411767665,36.2696
0.391072,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,36.28576,36.28576,36.28576,0.00419313168508623,0.0640746049852458,0.453491535065772,0.00232228240532451,0.0380842796978735,0.314237744698839,0.00171389011782114,0.0291019225437236,0.258965309615314,93.21811744,2171.702736,1404.258912,93.21811744,2171.702736,1404.258912,93.21811744,2171.702736,1404.258912,29270.0716981019,8145.19976842051,506.494171621397,16210.6457922251,4841.29502237291,350.964844735924,11963.7756213853,3699.45273667019,289.232344663862,36.28576
0.391274,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,36.30192,36.30192,36.30192,0.00419662344235179,0.0641279619948267,0.453869172230869,0.00232410939123961,0.0381142413607769,0.314484961803977,0.00171519964095368,0.0291241582987328,0.259163175896204,93.25963248,2172.669912,1404.884304,93.25963248,2172.669912,1404.884304,93.25963248,2172.669912,1404.884304,29294.4458397198,8151.98254144239,506.915945807505,16223.399030793,4845.10376578691,351.240955783641,11972.9167213694,3702.279358334,289.453336921229,36.30192
0.391476,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,36.31808,36.31808,36.31808,0.00420011637692575,0.0641813369946776,0.454246936723089,0.00232593690915375,0.0381442117482006,0.314732250896129,0.00171650951576015,0.0291464000251792,0.259361095314308,93.30114752,2173.637088,1405.509696,93.30114752,2173.637088,1405.509696,93.30114752,2173.637088,1405.509696,29318.8281995156,8158.76760139749,507.337862202323,16236.1559829694,4848.91361826683,351.517147231983,11982.0602762063,3705.10673909026,289.674388526318,36.31808
