"time","inertiaLoad.phi","inertiaLoad.w","smpm.idq_sr[1]","smpm.idq_sr[2]","tauElectrical","tauShaft","wMechanical"
0.59050000000000002,57.654630153105167,39.796202706270563,-130.2327873589154,-182.78411194333952,-277.20724660477697,-221.76579728382157,39.796202706270563
0.59099999999999997,57.67450436380291,39.700653018161624,-129.83555754775483,-182.63470867828985,-276.98066417757434,-221.58453134205948,39.700653018161624
0.59150000000000003,57.694330819224881,39.605181704513328,-129.43833303406939,-182.48438265726725,-276.75268231450275,-221.4021458516022,39.605181704513328
0.59199999999999997,57.714109558677926,39.509789248957318,-129.04111977181674,-182.33313325294273,-276.52330006416571,-221.21864005133256,39.509789248957318
0.59250000000000003,57.733840621712027,39.414476133795127,-128.64392366530245,-182.18095957429441,-276.29251607525481,-221.03401286020386,39.414476133795127
0.59299999999999997,57.753524048120909,39.319242839447703,-128.24675057696177,-182.0278603769878,-276.06032846063374,-220.848262768507,39.319242839447703
0.59350000000000003,57.773159877936138,39.224089852334608,-127.84960629989796,-181.87383545753261,-275.82673691169242,-220.66138952935393,39.224089852334608
0.59399999999999997,57.792748151433571,39.129017656889083,-127.45249659674427,-181.71888425515667,-275.59174057797367,-220.47339246237894,39.129017656889083
0.59450000000000003,57.812288909131759,39.03402673794362,-127.05542719516914,-181.56300627902982,-275.35533871509273,-220.28427097207418,39.03402673794362
0.59499999999999997,57.831782191792165,38.939117580728109,-126.65840379336403,-181.40620111523583,-275.11753069531136,-220.09402455624908,38.939117580728109
0.59550000000000003,57.85122804040914,38.844290668486607,-126.26143184533822,-181.24846786036599,-274.87831514853542,-219.90265211882834,38.844290668486607
0.59599999999999997,57.870626496229001,38.749546486855252,-125.86451697140915,-181.08980618311196,-274.63769157230837,-219.71015325784668,38.749546486855252
0.59650000000000003,57.889977600741837,38.654885521884893,-125.46766478104226,-180.93021585562724,-274.39565962108213,-219.51652769686569,38.654885521884893
0.59699999999999998,57.909281395678825,38.560308259388172,-125.07088081811642,-180.76969660367894,-274.15221887895996,-219.32177510316797,38.560308259388172
0.59750000000000003,57.928537923014545,38.465815185398746,-124.67417060908002,-180.60824822472992,-273.90736903877712,-219.1258952310217,38.465815185398746
0.59799999999999998,57.947747224964701,38.371406785876957,-124.2775396300397,-180.44587051846062,-273.66110979673283,-218.92888783738627,38.371406785876957
0.59850000000000003,57.966909343977541,38.27708354567261,-123.88099317513353,-180.28256302254889,-273.41344045167705,-218.73075236134164,38.27708354567261
0.59899999999999998,57.986024322761821,38.182845951752604,-123.48453679177834,-180.118325866764,-273.16436120041567,-218.53148896033252,38.182845951752604
0.59950000000000003,58.005092204263015,38.088694490379275,-123.08817591184454,-179.95315904080758,-272.91387202733034,-218.33109762186427,38.088694490379275
0.59999999999999998,58.024113031670019,37.994629647874554,-122.69191595945922,-179.78706260243314,-272.66197302000899,-218.12957841600718,37.994629647874554
0.60050000000000003,58.043086848415378,37.900651910599144,-122.29576235447364,-179.62003667973713,-272.40866437272058,-217.92693149817649,37.900651910599144
0.60099999999999998,58.062013698167313,37.806761764062436,-121.89972043056132,-179.45208127029315,-272.15394608178519,-217.72315686542817,37.806761764062436
0.60150000000000003,58.08089362484067,37.712959694064629,-121.50379555289379,-179.28319651522477,-271.89781836122859,-217.51825468898286,37.712959694064629
0.60199999999999998,58.099726672599388,37.619246186942085,-121.10799314772358,-179.11338276364191,-271.64028174050458,-217.31222539240366,37.619246186942085
0.60250000000000004,58.11851288584738,37.525621728530922,-120.71231860614355,-178.94264033765509,-271.38133670812078,-217.10506936649662,37.525621728530922
0.60299999999999998,58.137252309231989,37.43208680452144,-120.31677732438007,-178.77096962229783,-271.12098384801209,-216.89678707840966,37.43208680452144
0.60350000000000004,58.155944987643736,37.3386419004134,-119.9213747026407,-178.59837106084996,-270.85922383244935,-216.68737906595948,37.3386419004134
0.60399999999999998,58.174590966198963,37.245287500685947,-119.52611596668213,-178.42484490476639,-270.59605704278465,-216.47684563422771,37.245287500685947
0.60450000000000004,58.193190290280491,37.152024090641447,-119.13100659282107,-178.25039179890052,-270.33148445699169,-216.26518756559335,37.152024090641447
0.60499999999999998,58.211743005505383,37.058852154893323,-118.73605197558285,-178.07501231837634,-270.06550694729344,-216.05240555783476,37.058852154893323
0.60550000000000004,58.230249157733695,36.965772177734799,-118.34125751983018,-177.89870709303207,-269.79812546889201,-215.8385003751136,36.965772177734799
0.60599999999999998,58.248708793068417,36.872784643109142,-117.94662864295454,-177.72147680737049,-269.5293410598922,-215.62347284791377,36.872784643109142
0.60650000000000004,58.267121957846889,36.779890034649227,-117.5521706853244,-177.54332215478641,-269.25915477188505,-215.40732381750803,36.779890034649227
0.60699999999999998,58.285488698644777,36.687088835615327,-117.15788895544455,-177.36424385893136,-268.98756770234786,-215.19005416187829,36.687088835615327
0.60750000000000004,58.303809062295763,36.594381528707927,-116.76378894045328,-177.18424277747917,-268.71458115201403,-214.97166492161122,36.594381528707927
0.60799999999999998,58.322083095868003,36.501768596226142,-116.36987605935784,-177.0033197780017,-268.44019643662818,-214.75215714930255,36.501768596226142
0.60850000000000004,58.340310846671542,36.409250519979551,-115.97615574240749,-176.8214757763854,-268.16441494520791,-214.53153195616633,36.409250519979551
0.60899999999999999,58.358492362258104,36.316827781259185,-115.58263343238603,-176.63871173633299,-267.8872381392884,-214.30979051143072,36.316827781259185
0.60950000000000004,58.376627690401669,36.224500861380079,-115.1893144134033,-176.45502866056512,-267.60866753957851,-214.08693403166279,36.224500861380079
0.60999999999999999,58.394716879137604,36.132270240495338,-114.79620416128049,-176.27042760712018,-267.32870475068103,-213.86296380054483,36.132270240495338
0.61050000000000004,58.412759976738499,36.040136398280197,-114.40330812961618,-176.08490967849974,-267.04735144463092,-213.63788115570475,36.040136398280197
0.61099999999999999,58.430757031715039,35.94809981387089,-114.01063176079852,-175.89847602163849,-266.76460936084959,-213.41168748867966,35.94809981387089
0.61150000000000004,58.448708092818016,35.856160965774812,-113.61818050559226,-175.71112782828629,-266.48048030672464,-213.1843842453797,35.856160965774812
0.61199999999999999,58.466613209033774,35.764320331961542,-113.22595979925742,-175.52286634052032,-266.19496616596871,-212.95597293277496,35.764320331961542
0.61250000000000004,58.484472429577728,35.672578390003061,-112.83397502740385,-175.33369285879908,-265.90806891083508,-212.72645512866808,35.672578390003061
0.61299999999999999,58.502285803923108,35.580935616279753,-112.44223168602613,-175.14360870192891,-265.61979054140272,-212.49583243312219,35.580935616279753
0.61350000000000005,58.52005338177397,35.489392486666077,-112.05073523399474,-174.95261524319136,-265.33013314036685,-212.26410651229349,35.489392486666077
0.61399999999999999,58.537775213072642,35.397949476301079,-111.65949113580145,-174.76071389935558,-265.03909885637523,-212.03127908510021,35.397949476301079
0.61450000000000005,58.555451347999558,35.306607059563589,-111.26850486168966,-174.5679061302443,-264.74668990336994,-211.79735192269595,35.306607059563589
0.61499999999999999,58.573081836961798,35.215365710198498,-110.87778185794585,-174.3741934490703,-264.45290857626367,-211.56232686101094,35.215365710198498
0.61550000000000005,58.590666730611005,35.124225901046813,-110.48732759555369,-174.17957740448679,-264.157757223717,-211.32620577897359,35.124225901046813
0.61599999999999999,58.60820607983927,35.033188104073467,-110.09714755998499,-173.98405958388557,-263.86123825314132,-211.08899060251306,35.033188104073467
0.61650000000000005,58.625699935771614,34.942252790441096,-109.7072472318106,-173.78764162000826,-263.56335414072447,-210.85068331257958,34.942252790441096
0.61699999999999999,58.643148349769014,34.851420430441159,-109.31763209563302,-173.59032518733548,-263.26410742595499,-210.61128594076399,34.851420430441159
0.61750000000000005,58.660551373425783,34.760691493494214,-108.92830763519585,-173.39211200308307,-262.96350071313304,-210.37080057050645,34.760691493494214
0.61799999999999999,58.677909058548749,34.67006644833782,-108.53927929097492,-173.19300383879275,-262.66153668894822,-210.12922935115859,34.67006644833782
0.61850000000000005,58.695221457210963,34.579545762445164,-108.15055257179993,-172.99300248843133,-262.35821807409991,-209.88657445927993,34.579545762445164
0.61899999999999999,58.712488621706783,34.489129902461883,-107.76213296259257,-172.79210979405761,-262.05354766222297,-209.64283812977837,34.489129902461883
0.61950000000000005,58.729710604563707,34.398819334057194,-107.37402594933972,-172.5903276383863,-261.74752830860996,-209.39802264688797,34.398819334057194
0.62,58.746887458541892,34.308614521901426,-106.98623701884574,-172.38765794447482,-261.44016292973697,-209.15213034378957,34.308614521901426
0.62050000000000005,58.764019236633814,34.218515929643075,-106.5987716584833,-172.18410267540892,-261.13145450278591,-208.90516360222873,34.218515929643075
0.621,58.781105992063857,34.128524019886264,-106.2116353559457,-171.97966383398943,-260.82140606517049,-208.65712485213641,34.128524019886264
0.62150000000000005,58.79814777828787,34.038639254167855,-105.8248335989977,-171.77434346241796,-260.51002071405833,-208.40801657124666,34.038639254167855
0.622,58.815144648992778,33.948862092934881,-105.43837187522773,-171.56814364198334,-260.19730160589654,-208.15784128471722,33.948862092934881
0.62250000000000005,58.832096658096226,33.859192995521674,-105.05225567179887,-171.3610664927476,-259.8832519559345,-207.9066015647476,33.859192995521674
0.623,58.84900385974607,33.769632420127273,-104.666490475201,-171.15311417323255,-259.56787503774973,-207.65430003019978,33.769632420127273
0.62350000000000005,58.865866308300923,33.680180824378581,-104.28108173494726,-170.94428893276418,-259.2511742626312,-207.40093941010497,33.680180824378581
0.624,58.882684058376896,33.590838663862961,-103.8960349522205,-170.73459298132624,-258.93315298220227,-207.14652238576181,33.590838663862961
0.62450000000000006,58.899457164808837,33.50160639328103,-103.51135560728915,-170.52402859489376,-258.61381464816765,-206.89105171853413,33.50160639328103
0.625,58.916185682659105,33.412484466141414,-103.12704917665374,-170.3125980897147,-258.2931627733094,-206.63453021864751,33.412484466141414
0.62550000000000006,58.932869667217993,33.323473334713221,-102.74312113431097,-170.10030381978584,-257.9712009276584,-206.37696074212673,33.323473334713221
0.626,58.949509174003282,33.234573450004028,-102.35957695147414,-169.88714817658544,-257.64793273808971,-206.11834619047175,33.234573450004028
0.62650000000000006,58.966104258759898,33.145785261737501,-101.97642209629248,-169.67313358880537,-257.32336188791555,-205.85868951033245,33.145785261737501
0.627,58.982654977459369,33.057109218331327,-101.59366203357183,-169.45826252208406,-256.997492116481,-205.5979936931848,33.057109218331327
0.62750000000000006,58.999161386299512,32.968545766874925,-101.21130222449369,-169.24253747873792,-256.67032721875603,-205.33626177500483,32.968545766874925
0.628,59.01562354170396,32.880095353107251,-100.82934812633606,-169.02596099749471,-256.34187104493179,-205.07349683594543,32.880095353107251
0.62850000000000006,59.032041500321697,32.791758421394597,-100.44780519219238,-168.80853565322525,-256.01212750001298,-204.80970200001039,32.791758421394597
0.629,59.048415318777423,32.703535417251686,-100.06667855047871,-168.59026425088109,-255.68110083794107,-204.54488067035285,32.703535417251686
0.62950000000000006,59.064745054234237,32.615426781574449,-99.685973727971259,-168.37114938654463,-255.34879499588996,-204.27903599671197,32.615426781574449
0.63,59.081030764045103,32.527432954168972,-99.3056962024379,-168.15119371831483,-255.01521400508705,-204.01217120406966,32.527432954168972
0.63050000000000006,59.097272505727176,32.439554373987185,-98.925851369860283,-167.93039998574824,-254.68036202029663,-203.7442896162373,32.439554373987185
0.63100000000000001,59.113470337017816,32.351791478528604,-98.546444616707049,-167.70877096558954,-254.34424325268213,-203.47539460214571,32.351791478528604
0.63150000000000006,59.129624315874054,32.264144703819404,-98.167481319472472,-167.48630947161337,-254.00686196956582,-203.20548957565265,32.264144703819404
0.63200000000000001,59.145734500472031,32.176614484391727,-97.78896684421656,-167.26301835446625,-253.66822249418931,-202.93457799535145,32.176614484391727
0.63250000000000006,59.161800949206437,32.0892012532629,-97.410906546103718,-167.03890050150835,-253.32832920547338,-202.66266336437872,32.0892012532629
0.63300000000000001,59.177823720689929,32.001905441914616,-97.033305768943038,-166.81395883665542,-252.98718653777857,-202.38974923022286,32.001905441914616
0.63350000000000006,59.193802873752567,31.914727480272198,-96.656169844726733,-166.58819632022065,-252.64479898066503,-202.11583918453204,31.914727480272198
0.63400000000000001,59.209738467441291,31.827667796683837,-96.279504093170488,-166.36161594875642,-252.30117107865271,-201.84093686292218,31.827667796683837
0.63450000000000006,59.225630560855251,31.740726819192538,-95.903313846680476,-166.13422085996496,-251.95630759032679,-201.56504607226142,31.740726819192538
0.63500000000000001,59.241479213452202,31.653904973096658,-95.527604402317294,-165.90601413595869,-251.61021318996615,-201.28817055197291,31.653904973096658
0.63550000000000006,59.257284484990905,31.567202681378912,-95.15238103018406,-165.67699883966682,-251.26289252275677,-201.01031401820541,31.567202681378912
0.63600000000000001,59.273046435358594,31.480620366040384,-94.777648999611685,-165.4471781247733,-250.91435037152138,-200.7314802972171,31.480620366040384
0.63650000000000007,59.288765124654475,31.394158447417418,-94.403413565672295,-165.2165551817393,-250.56459157485881,-200.45167325988706,31.394158447417418
0.63700000000000001,59.304440613189044,31.307817344161631,-94.029679968732836,-164.98513323770058,-250.21362102698765,-200.17089682159013,31.307817344161631
0.63750000000000007,59.320072961483483,31.221597473219724,-93.656453434007247,-164.75291555636537,-249.86144367759175,-199.88915494207339,31.221597473219724
0.63800000000000001,59.335662230268966,31.135499249813495,-93.283739171110014,-164.51990543791175,-249.50806453166467,-199.60645162533174,31.135499249813495
0.63850000000000007,59.351208480486086,31.049523087419654,-92.911542373608611,-164.28610621888527,-249.15348864935402,-199.32279091948323,31.049523087419654
0.63900000000000001,59.366711773284088,30.963669397749836,-92.539868218576714,-164.05152127209695,-248.79772114580709,-199.03817691664568,30.963669397749836
0.63950000000000007,59.382172170020333,30.877938590730388,-92.168721866146711,-163.81615400652009,-248.4407671910144,-198.75261375281153,30.877938590730388
0.64000000000000001,59.397589732101082,30.792331075279474,-91.798108526387324,-163.5800078735401,-248.08263201928764,-198.46610561543011,30.792331075279474
0.64049999999999996,59.41296452116579,30.706847258356948,-91.428033380309515,-163.34308635944132,-247.72332091786592,-198.17865673429273,30.706847258356948
0.64100000000000001,59.428296599326636,30.621487543736443,-91.058501477395822,-163.1053929756803,-247.36283921216386,-197.8902713697311,30.621487543736443
0.64149999999999996,59.443586028739318,30.536252334140336,-90.689517917178264,-162.86693127595555,-247.00119229165969,-197.60095383332776,30.536252334140336
0.64200000000000002,59.458832871761821,30.451142030418222,-90.321087781104879,-162.62770484971907,-246.63838560005479,-197.31070848004384,30.451142030418222
0.64249999999999996,59.474037190953581,30.36615703152745,-89.953216132137584,-162.38771732207883,-246.27442463512546,-197.01953970810035,30.36615703152745
0.64300000000000002,59.48919904907482,30.281297734513473,-89.585908014348433,-162.14697235370014,-245.90931494857398,-196.72745195885918,30.281297734513473
0.64349999999999996,59.504318509085671,30.196564534490342,-89.219168452517266,-161.90547364070761,-245.54306214587962,-196.43444971670368,30.196564534490342
0.64400000000000002,59.519395634145589,30.111957824621086,-88.853002451728045,-161.66322491458672,-245.17567188614905,-196.14053750891924,30.111957824621086
0.64449999999999996,59.534430487612418,30.027477996098213,-88.487414996966606,-161.42022994208588,-244.80714988196834,-195.84571990557467,30.027477996098213
0.64500000000000002,59.54942313304177,29.943125438124042,-88.122411052716899,-161.17649252511791,-244.43750189925308,-195.55000151940249,29.943125438124042
0.64549999999999996,59.564373634101464,29.858900538311808,-87.757995601529757,-160.93201646067595,-244.06673369645796,-195.25338695716636,29.858900538311808
0.64600000000000002,59.579282054539156,29.77480368282249,-87.394173658125311,-160.68680552585124,-243.69485100185483,-194.95588080148386,29.77480368282249
0.64649999999999996,59.594148458652846,29.690835254007993,-87.030950052386387,-160.44086369998058,-243.32185985043733,-194.65748788034986,29.690835254007993
0.64700000000000002,59.608972910758034,29.606995633030937,-86.668329673557963,-160.19419491357428,-242.94776620315019,-194.35821296252016,29.606995633030937
0.64749999999999996,59.623755475361911,29.523285198977135,-86.306317389391936,-159.94680313076631,-242.5725760719308,-194.05806085754463,29.523285198977135
0.64800000000000002,59.638496217162562,29.439704328836246,-85.94491804578513,-159.69869234917331,-242.19629551949589,-193.7570364155967,29.439704328836246
0.64849999999999997,59.653195201048113,29.356253397482863,-85.584136466418357,-159.44986659975399,-241.81893065912837,-193.45514452730271,29.356253397482863
0.64900000000000002,59.667852492095896,29.272932777657221,-85.223977452394507,-159.20032994666752,-241.44048765446229,-193.15239012356983,29.272932777657221
0.64949999999999997,59.682468155571591,29.189742839946224,-84.864445781877578,-158.95008648713372,-241.06097271927075,-192.84877817541661,29.189742839946224
0.65000000000000002,59.697042256928391,29.10668395276419,-84.505546209730738,-158.69914035129119,-240.68039211725116,-192.54431369380092,29.10668395276419
0.65000000000000002,59.697042256928391,29.10668395276419,-84.505546209730738,-158.69914035129119,-240.68039211725116,-192.54431369380092,29.10668395276419
0.65049999999999997,59.711574614110113,29.022310166902592,-87.172386808309838,-163.94285721797038,-248.63292310658434,-198.90633848526747,29.022310166902592
0.65100000000000002,59.726064114226162,28.935252850040463,-89.910420573386062,-168.96066486169715,-256.24284404621767,-204.99427523697415,28.935252850040463
0.65149999999999997,59.740509439020386,28.845629859389408,-92.710226247810539,-173.75560126407001,-263.51476228689512,-210.81180982951611,28.845629859389408
0.65200000000000002,59.754909335287927,28.753556848048675,-95.56277912086756,-178.33096019762013,-270.45367310749833,-216.36293848599865,28.753556848048675
