"time","medium.T","medium.p","medium2.T","medium2.X[1]","medium2.X[2]","medium2.p"
0.0946,294.6,100094.6,300,0.2,0.8,200094.6
0.0948,294.8,100094.8,300,0.2,0.8,200094.8
0.095,295,100095,300,0.2,0.8,200095
0.0952,295.2,100095.2,300,0.2,0.8,200095.2
0.0954,295.4,100095.4,300,0.2,0.8,200095.4
0.0956,295.6,100095.6,300,0.2,0.8,200095.6
0.0958,295.8,100095.8,300,0.2,0.8,200095.8
0.096,296,100096,300,0.2,0.8,200096
0.0962,296.2,100096.2,300,0.2,0.8,200096.2
0.0964,296.4,100096.4,300,0.2,0.8,200096.4
0.0966,296.6,100096.6,300,0.2,0.8,200096.6
0.0968,296.8,100096.8,300,0.2,0.8,200096.8
0.097,297,100097,300,0.2,0.8,200097
0.0972,297.2,100097.2,300,0.2,0.8,200097.2
0.0974,297.4,100097.4,300,0.2,0.8,200097.4
0.0976,297.6,100097.6,300,0.2,0.8,200097.6
0.0978,297.8,100097.8,300,0.2,0.8,200097.8
0.098,298,100098,300,0.2,0.8,200098
0.0982,298.2,100098.2,300,0.2,0.8,200098.2
0.0984,298.4,100098.4,300,0.2,0.8,200098.4
0.0986,298.6,100098.6,300,0.2,0.8,200098.6
0.0988,298.8,100098.8,300,0.2,0.8,200098.8
0.099,299,100099,300,0.2,0.8,200099
0.0992,299.2,100099.2,300,0.2,0.8,200099.2
0.0994,299.4,100099.4,300,0.2,0.8,200099.4
0.0996,299.6,100099.6,300,0.2,0.8,200099.6
0.0998,299.8,100099.8,300,0.2,0.8,200099.8
0.1,300,100100,300,0.2,0.8,200100
