"Time","harmonic.y_arg","potentialSensor.phi[3]","potentialSensor.phi[1]","filter[1].x[1]","harmonic.mean1.x","toPolar.y[1]","toPolar.y[2]","filter[2].x[1]","harmonic.mean2.x","filter[2].x[2]","integrator.y","harmonic.y_rms","potentialSensor.phi[2]","filter[1].x[2]"
0.033132557,0,-1.2247449,1.2247449,0.39289904,0.05141202,1.0826674,-0.0033955036,-0.041115966,0.011145438,-0.0036761938,0.416356,0,1.2247449,1.082661
0.033500001,0,-1.2247449,1.2247449,0.39622879,0.051993478,1.0801989,-0.003521651,-0.03752346,0.011404173,-0.0038040755,0.42097342,0,1.2247449,1.0801922
0.034000002,0,-1.2247449,1.2247449,0.40076596,0.05278277,1.0768732,-0.0036744166,-0.032690804,0.011760551,-0.003956872,0.42725661,0,1.2247449,1.0768659
0.034499999,0,-1.2247449,1.2247449,0.40531,0.053569797,1.0735859,-0.0038055948,-0.027922435,0.012121877,-0.0040856227,0.43353978,0,1.2247449,1.0735781
0.034973182,0,-1.2247449,1.2247449,0.4096165,0.054312509,1.07051,-0.0039098319,-0.023468988,0.012468373,-0.0041855033,0.43948594,0,1.2247449,1.0705018
0.034973182,0,1.2247449,1.2247449,0.4096165,0.054312509,1.07051,-0.0039098319,-0.023468988,0.012468373,-0.0041855033,0.43948594,0,1.2247449,1.0705018
0.035,0,1.2247449,1.2247449,0.40950906,0.054354545,1.0703366,-0.0039151902,-0.023462832,0.012488144,-0.0041905609,0.43982297,0,1.2247449,1.0703285
0.035026819,0,1.2247449,1.2247449,0.40940163,0.054396573,1.0701632,-0.0039205477,-0.023456678,0.012507929,-0.0041956156,0.44015998,0,1.2247449,1.070155
0.035026819,0,-1.2247449,1.2247449,0.40940163,0.054396573,1.0701632,-0.0039205477,-0.023456678,0.012507929,-0.0041956156,0.44015998,0,1.2247449,1.070155
0.035500001,0,-1.2247449,1.2247449,0.41371781,0.055136982,1.0671221,-0.004005562,-0.019064879,0.012859339,-0.0042744125,0.44610617,0,1.2247449,1.0671135
0.035999998,0,-1.2247449,1.2247449,0.41828442,0.055917066,1.0639454,-0.0040749437,-0.014486347,0.013235438,-0.0043355054,0.45238933,0,1.2247449,1.0639366
