"time","booleanTable.y","onDelay1.delaySignal","onDelay1.t_next","onDelay1.u","onDelay2.delaySignal","onDelay2.t_next","onDelay2.u","onDelay3.delaySignal","onDelay3.t_next","onDelay3.u"
0.6226,0,0,-1,0,0,-1,0,1,-1,1
0.6248,0,0,-1,0,0,-1,0,1,-1,1
0.627,0,0,-1,0,0,-1,0,1,-1,1
0.6292,0,0,-1,0,0,-1,0,1,-1,1
0.6314,0,0,-1,0,0,-1,0,1,-1,1
0.6336,0,0,-1,0,0,-1,0,1,-1,1
0.6358,0,0,-1,0,0,-1,0,1,-1,1
0.638,0,0,-1,0,0,-1,0,1,-1,1
0.6402,0,0,-1,0,0,-1,0,1,-1,1
0.6424,0,0,-1,0,0,-1,0,1,-1,1
0.6446,0,0,-1,0,0,-1,0,1,-1,1
0.6468,0,0,-1,0,0,-1,0,1,-1,1
0.649,0,0,-1,0,0,-1,0,1,-1,1
0.6512,0,0,-1,0,0,-1,0,1,-1,1
0.6534,0,0,-1,0,0,-1,0,1,-1,1
0.6556,0,0,-1,0,0,-1,0,1,-1,1
0.6578,0,0,-1,0,0,-1,0,1,-1,1
0.66,0,0,-1,0,0,-1,0,1,-1,1
0.6622,0,0,-1,0,0,-1,0,1,-1,1
0.6644,0,0,-1,0,0,-1,0,1,-1,1
0.6666,0,0,-1,0,0,-1,0,1,-1,1
0.6688,0,0,-1,0,0,-1,0,1,-1,1
0.671,0,0,-1,0,0,-1,0,1,-1,1
0.6732,0,0,-1,0,0,-1,0,1,-1,1
0.6754,0,0,-1,0,0,-1,0,1,-1,1
0.6776,0,0,-1,0,0,-1,0,1,-1,1
0.6798,0,0,-1,0,0,-1,0,1,-1,1
0.682,0,0,-1,0,0,-1,0,1,-1,1
0.6842,0,0,-1,0,0,-1,0,1,-1,1
0.6864,0,0,-1,0,0,-1,0,1,-1,1
0.6886,0,0,-1,0,0,-1,0,1,-1,1
0.6908,0,0,-1,0,0,-1,0,1,-1,1
0.693,0,0,-1,0,0,-1,0,1,-1,1
0.6952,0,0,-1,0,0,-1,0,1,-1,1
0.6974,0,0,-1,0,0,-1,0,1,-1,1
0.6996,0,0,-1,0,0,-1,0,1,-1,1
0.7018,0,0,-1,0,0,-1,0,1,-1,1
0.704,0,0,-1,0,0,-1,0,1,-1,1
0.7062,0,0,-1,0,0,-1,0,1,-1,1
0.7084,0,0,-1,0,0,-1,0,1,-1,1
0.7106,0,0,-1,0,0,-1,0,1,-1,1
0.7128,0,0,-1,0,0,-1,0,1,-1,1
0.715,0,0,-1,0,0,-1,0,1,-1,1
0.7172,0,0,-1,0,0,-1,0,1,-1,1
0.7194,0,0,-1,0,0,-1,0,1,-1,1
0.7216,0,0,-1,0,0,-1,0,1,-1,1
0.7238,0,0,-1,0,0,-1,0,1,-1,1
0.726,0,0,-1,0,0,-1,0,1,-1,1
0.7282,0,0,-1,0,0,-1,0,1,-1,1
0.7304,0,0,-1,0,0,-1,0,1,-1,1
0.7326,0,0,-1,0,0,-1,0,1,-1,1
0.7348,0,0,-1,0,0,-1,0,1,-1,1
0.737,0,0,-1,0,0,-1,0,1,-1,1
0.7392,0,0,-1,0,0,-1,0,1,-1,1
0.7414,0,0,-1,0,0,-1,0,1,-1,1
0.7436,0,0,-1,0,0,-1,0,1,-1,1
0.7458,0,0,-1,0,0,-1,0,1,-1,1
0.748,0,0,-1,0,0,-1,0,1,-1,1
0.7502,0,0,-1,0,0,-1,0,1,-1,1
0.7524,0,0,-1,0,0,-1,0,1,-1,1
0.7546,0,0,-1,0,0,-1,0,1,-1,1
0.7568,0,0,-1,0,0,-1,0,1,-1,1
0.759,0,0,-1,0,0,-1,0,1,-1,1
0.7612,0,0,-1,0,0,-1,0,1,-1,1
0.7634,0,0,-1,0,0,-1,0,1,-1,1
0.7656,0,0,-1,0,0,-1,0,1,-1,1
0.7678,0,0,-1,0,0,-1,0,1,-1,1
0.77,0,0,-1,0,0,-1,0,1,-1,1
0.7722,0,0,-1,0,0,-1,0,1,-1,1
0.7744,0,0,-1,0,0,-1,0,1,-1,1
0.7766,0,0,-1,0,0,-1,0,1,-1,1
0.7788,0,0,-1,0,0,-1,0,1,-1,1
0.781,0,0,-1,0,0,-1,0,1,-1,1
0.7832,0,0,-1,0,0,-1,0,1,-1,1
0.7854,0,0,-1,0,0,-1,0,1,-1,1
0.7876,0,0,-1,0,0,-1,0,1,-1,1
0.7898,0,0,-1,0,0,-1,0,1,-1,1
0.792,0,0,-1,0,0,-1,0,1,-1,1
0.7942,0,0,-1,0,0,-1,0,1,-1,1
0.7964,0,0,-1,0,0,-1,0,1,-1,1
0.7986,0,0,-1,0,0,-1,0,1,-1,1
0.8008,0,0,-1,0,0,-1,0,1,-1,1
0.803,0,0,-1,0,0,-1,0,1,-1,1
0.8052,0,0,-1,0,0,-1,0,1,-1,1
0.8074,0,0,-1,0,0,-1,0,1,-1,1
0.8096,0,0,-1,0,0,-1,0,1,-1,1
0.8118,0,0,-1,0,0,-1,0,1,-1,1
0.814,0,0,-1,0,0,-1,0,1,-1,1
0.8162,0,0,-1,0,0,-1,0,1,-1,1
0.8184,0,0,-1,0,0,-1,0,1,-1,1
0.8206,0,0,-1,0,0,-1,0,1,-1,1
0.8228,0,0,-1,0,0,-1,0,1,-1,1
0.825,0,0,-1,0,0,-1,0,1,-1,1
0.8272,0,0,-1,0,0,-1,0,1,-1,1
0.8294,0,0,-1,0,0,-1,0,1,-1,1
0.8316,0,0,-1,0,0,-1,0,1,-1,1
0.8338,0,0,-1,0,0,-1,0,1,-1,1
0.836,0,0,-1,0,0,-1,0,1,-1,1
0.8382,0,0,-1,0,0,-1,0,1,-1,1
0.8404,0,0,-1,0,0,-1,0,1,-1,1
0.8426,0,0,-1,0,0,-1,0,1,-1,1
0.8448,0,0,-1,0,0,-1,0,1,-1,1
0.847,0,0,-1,0,0,-1,0,1,-1,1
0.8492,0,0,-1,0,0,-1,0,1,-1,1
0.8514,0,0,-1,0,0,-1,0,1,-1,1
0.8536,0,0,-1,0,0,-1,0,1,-1,1
0.8558,0,0,-1,0,0,-1,0,1,-1,1
0.858,0,0,-1,0,0,-1,0,1,-1,1
0.8602,0,0,-1,0,0,-1,0,1,-1,1
0.8624,0,0,-1,0,0,-1,0,1,-1,1
0.8646,0,0,-1,0,0,-1,0,1,-1,1
0.8668,0,0,-1,0,0,-1,0,1,-1,1
0.869,0,0,-1,0,0,-1,0,1,-1,1
0.8712,0,0,-1,0,0,-1,0,1,-1,1
0.8734,0,0,-1,0,0,-1,0,1,-1,1
0.8756,0,0,-1,0,0,-1,0,1,-1,1
0.8778,0,0,-1,0,0,-1,0,1,-1,1
0.88,0,0,-1,0,0,-1,0,1,-1,1
0.8822,0,0,-1,0,0,-1,0,1,-1,1
0.8844,0,0,-1,0,0,-1,0,1,-1,1
0.8866,0,0,-1,0,0,-1,0,1,-1,1
0.8888,0,0,-1,0,0,-1,0,1,-1,1
0.891,0,0,-1,0,0,-1,0,1,-1,1
0.8932,0,0,-1,0,0,-1,0,1,-1,1
0.8954,0,0,-1,0,0,-1,0,1,-1,1
0.8976,0,0,-1,0,0,-1,0,1,-1,1
0.8998,0,0,-1,0,0,-1,0,1,-1,1
0.902,0,0,-1,0,0,-1,0,1,-1,1
0.9042,0,0,-1,0,0,-1,0,1,-1,1
0.9064,0,0,-1,0,0,-1,0,1,-1,1
0.9086,0,0,-1,0,0,-1,0,1,-1,1
0.9108,0,0,-1,0,0,-1,0,1,-1,1
0.913,0,0,-1,0,0,-1,0,1,-1,1
0.9152,0,0,-1,0,0,-1,0,1,-1,1
0.9174,0,0,-1,0,0,-1,0,1,-1,1
0.9196,0,0,-1,0,0,-1,0,1,-1,1
0.9218,0,0,-1,0,0,-1,0,1,-1,1
0.924,0,0,-1,0,0,-1,0,1,-1,1
0.9262,0,0,-1,0,0,-1,0,1,-1,1
0.9284,0,0,-1,0,0,-1,0,1,-1,1
0.9306,0,0,-1,0,0,-1,0,1,-1,1
0.9328,0,0,-1,0,0,-1,0,1,-1,1
0.935,0,0,-1,0,0,-1,0,1,-1,1
0.9372,0,0,-1,0,0,-1,0,1,-1,1
0.9394,0,0,-1,0,0,-1,0,1,-1,1
0.9416,0,0,-1,0,0,-1,0,1,-1,1
0.9438,0,0,-1,0,0,-1,0,1,-1,1
0.946,0,0,-1,0,0,-1,0,1,-1,1
0.9482,0,0,-1,0,0,-1,0,1,-1,1
0.9504,0,0,-1,0,0,-1,0,1,-1,1
0.9526,0,0,-1,0,0,-1,0,1,-1,1
0.9548,0,0,-1,0,0,-1,0,1,-1,1
0.957,0,0,-1,0,0,-1,0,1,-1,1
0.9592,0,0,-1,0,0,-1,0,1,-1,1
0.9614,0,0,-1,0,0,-1,0,1,-1,1
0.9636,0,0,-1,0,0,-1,0,1,-1,1
0.9658,0,0,-1,0,0,-1,0,1,-1,1
0.968,0,0,-1,0,0,-1,0,1,-1,1
0.9702,0,0,-1,0,0,-1,0,1,-1,1
0.9724,0,0,-1,0,0,-1,0,1,-1,1
0.9746,0,0,-1,0,0,-1,0,1,-1,1
0.9768,0,0,-1,0,0,-1,0,1,-1,1
0.979,0,0,-1,0,0,-1,0,1,-1,1
0.9812,0,0,-1,0,0,-1,0,1,-1,1
0.9834,0,0,-1,0,0,-1,0,1,-1,1
0.9856,0,0,-1,0,0,-1,0,1,-1,1
0.9878,0,0,-1,0,0,-1,0,1,-1,1
0.99,0,0,-1,0,0,-1,0,1,-1,1
0.9922,0,0,-1,0,0,-1,0,1,-1,1
0.9944,0,0,-1,0,0,-1,0,1,-1,1
0.9966,0,0,-1,0,0,-1,0,1,-1,1
0.9988,0,0,-1,0,0,-1,0,1,-1,1
1,0,0,-1,0,0,-1,0,1,-1,1
1,1,1,2,1,0,-1,0,1,-1,1
1.001,1,1,2,1,0,-1,0,1,-1,1
1.0032,1,1,2,1,0,-1,0,1,-1,1
