"time","cp[1]","cp[2]","cp[3]","eta[1]","eta[2]","eta[3]","lambda[1]","lambda[2]","lambda[3]","rho[1]","rho[2]","rho[3]","m_flow[1]","m_flow[2]","m_flow[3]","Re_1[1]","Re_1[2]","Re_1[3]","Nu_1[1]","Nu_1[2]","Nu_1[3]","Nu_2[1]","Nu_2[2]","Nu_2[3]","Nu_3[1]","Nu_3[2]","Nu_3[3]","Nu_4[1]","Nu_4[2]","Nu_4[3]","Re","Pr[1]","Pr[2]","Pr[3]","input_mflow_0.y","input_mflow_1.y","input_mflow_2.y"
0.713262,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.011412192,0.626669490526316,71.3262,7966.25775576221,7966.25775576221,7966.25775576221,12.7885543660571,27.974093178641,148.86308274032,15.7023586099183,34.0737243967919,180.264786775841,18.9374307166235,41.0677416556751,215.856659876829,25.4857715637545,54.726798461663,286.604285727811,7966.25775576221,0.714973919813157,7.01036324143693,996.999224806202,71.3262,-97.3476458102492,0.137226153401171
0.713464,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.011415424,0.626846967017544,71.3464,7968.51384688533,7968.51384688533,7968.51384688533,12.7897980559025,27.9767937598144,148.877200245412,15.703864726861,34.0769905020302,180.281858912726,18.9398535212946,41.0729717819035,215.883913354441,25.4891079141579,54.7339432610129,286.641523339193,7968.51384688533,0.714973919813157,7.01036324143693,996.999224806202,71.3464,-97.376605145581,0.136949236351681
0.713666,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.011418656,0.627024443508772,71.3666,7970.76993800846,7970.76993800846,7970.76993800846,12.7910415168672,27.9794938324777,148.891315086111,15.7053705659011,34.0802559921685,180.298927827587,18.942275974782,41.0782011452462,215.911162865434,25.4924437867743,54.7410870316829,286.678755596292,7970.76993800846,0.714973919813157,7.01036324143693,996.999224806202,71.3666,-97.4054076191659,0.136672878110046
0.713868,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.011421888,0.62720192,71.3868,7973.02602913159,7973.02602913159,7973.02602913159,12.7922847490563,27.9821933968702,148.905427263671,15.7068761271665,34.0835208674963,180.315993521943,18.9446980772365,41.0834297460342,215.938408411528,25.4957791818076,54.7482297741155,286.715982501411,7973.02602913159,0.714973919813157,7.01036324143693,996.999224806202,71.3868,-97.4340531846068,0.136397077548612
0.71407,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.01142512,0.627379396491228,71.407,7975.28212025472,7975.28212025471,7975.28212025472,12.7935277525749,27.9848924532311,148.91953677935,15.7083814107853,34.0867851283029,180.333055997315,18.9471198288089,41.0886575845986,215.965649994443,25.4991140994615,54.7553714887531,286.75320405685,7975.28212025472,0.714973919813157,7.01036324143693,996.999224806202,71.407,-97.4625417957592,0.136121833542003
0.714272,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.011428352,0.627556872982456,71.4272,7977.53821137784,7977.53821137784,7977.53821137785,12.7947705275279,27.9875910017993,148.933643634403,15.7098864168853,34.0900487748774,180.350115255218,18.9495412296496,41.0938846612702,215.992887615899,25.5024485399396,54.7625121760378,286.790420264911,7977.53821137784,0.714973919813157,7.01036324143693,996.999224806202,71.4272,-97.4908734067315,0.135847144967112
0.714474,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.011431584,0.627734349473684,71.4474,7979.79430250097,7979.79430250097,7979.79430250097,12.7960130740204,27.9902890428136,148.947747830082,15.7113911455944,34.0933118075086,180.36717129717,18.9519622799092,41.0991109763793,216.020121277613,25.5057825034454,54.7696518364112,286.827631127891,7979.79430250097,0.714973919813157,7.01036324143693,996.999224806202,71.4474,-97.5190479718848,0.1355730107031
0.714676,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.011434816,0.627911825964912,71.4676,7982.0503936241,7982.0503936241,7982.0503936241,12.7972553921571,27.9929865765125,148.961849367641,15.7128955970401,34.0965742264853,180.384224124686,18.954382979738,41.1043365302564,216.047350981302,25.5091159901822,54.7767904703146,286.864836648087,7982.0503936241,0.714973919813157,7.01036324143693,996.999224806202,71.4676,-97.5470654458334,0.135299429631389
0.714878,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.011438048,0.62808930245614,71.4878,7984.30648474723,7984.30648474723,7984.30648474723,12.7984974820428,27.9956836031345,148.975948248333,15.7143997713502,34.0998360320957,180.401273739279,18.9568033292864,41.1095613232313,216.07457672868,25.5124490003531,54.7839280781892,286.902036827795,7984.30648474723,0.714973919813157,7.01036324143693,996.999224806202,71.4878,-97.5749257834447,0.135026400635658
0.71508,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.01144128,0.628266778947369,71.508,7986.56257587035,7986.56257587035,7986.56257587035,12.7997393437822,27.9983801229177,148.990044473408,15.7159036686522,34.1030972246282,180.418320142463,18.9592233287045,41.1147853556339,216.101798521461,25.5157815341612,54.7910646604757,286.939231669307,7986.56257587035,0.714973919813157,7.01036324143693,996.999224806202,71.508,-97.6026289398391,0.13475392260184
0.715282,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.011444512,0.628444255438596,71.5282,7988.81866699348,7988.81866699348,7988.81866699348,12.8009809774799,28.0010761361002,149.004138044116,15.7174072890733,34.1063578043706,180.43536333575,18.9616429781424,41.1200086277937,216.129016361359,25.5191135918093,54.7982002176145,286.976421174915,7988.81866699348,0.714973919813157,7.01036324143693,996.999224806202,71.5282,-97.63017487039,0.134481994418114
0.715484,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.011447744,0.628621731929825,71.5484,7991.07475811661,7991.07475811661,7991.07475811661,12.8022223832405,28.0037716429199,149.018228961707,15.7189106327409,34.1096177716109,180.452403320649,18.96406227775,41.1252311400401,216.156230250084,25.5224451735001,54.8053347500458,287.01360534691,7991.07475811661,0.714973919813157,7.01036324143693,996.999224806202,71.5484,-97.6575635307245,0.134210614974905
