"time","Source.ports[1].m_flow","Source.ports[1].p","Source.ports[1].h_outflow","Sink.ports[1].m_flow","Sink.ports[1].p","Sink.ports[1].h_outflow","pump.port_b.m_flow","pump.port_b.p","pump.port_b.h_outflow","valveOpening.y","Valve.port_b.m_flow","Valve.port_b.p","Valve.port_b.h_outflow","Valve.minLimiter.y","downstreamPressure.y"
4.848,-0.576636833530567,100000,84011.8111671368,0.576636833530567,869600,84735.8384571812,-0.576636833530567,876136.719886314,84983.3970208742,1,-0.576636833530567,869600,84983.3970208742,1,869600
4.85,-0.575927540666373,100000,84011.8111671368,0.575927540666373,870000,84736.2146357093,-0.575927540666373,876520.457015895,84983.8772269738,1,-0.575927540666373,870000,84983.8772269738,1,870000
4.852,-0.575217624974641,100000,84011.8111671368,0.575217624974641,870400,84736.5908140972,-0.575217624974641,876904.201027632,84984.357441523,1,-0.575217624974641,870400,84984.357441523,1,870400
4.854,-0.574507084822331,100000,84011.8111671368,0.574507084822331,870800,84736.966992345,-0.574507084822331,877287.951934281,84984.8376645376,1,-0.574507084822331,870800,84984.8376645376,1,870800
4.856,-0.573795918569199,100000,84011.8111671368,0.573795918569199,871200,84737.3431704527,-0.573795918569199,877671.709748668,84985.3178960338,1,-0.573795918569199,871200,84985.3178960338,1,871200
4.858,-0.573084124567795,100000,84011.8111671368,0.573084124567795,871600,84737.7193484202,-0.573084124567795,878055.474483687,84985.7981360276,1,-0.573084124567795,871600,84985.7981360276,1,871600
4.86,-0.572371701163378,100000,84011.8111671368,0.572371701163378,872000,84738.0955262476,-0.572371701163378,878439.246152302,84986.2783845353,1,-0.572371701163378,872000,84986.2783845353,1,872000
4.862,-0.5716586466939,100000,84011.8111671368,0.5716586466939,872400,84738.4717039348,-0.5716586466939,878823.024767546,84986.7586415732,1,-0.5716586466939,872400,84986.7586415732,1,872400
4.864,-0.570944959489958,100000,84011.8111671368,0.570944959489958,872800,84738.847881482,-0.570944959489958,879206.810342524,84987.2389071577,1,-0.570944959489958,872800,84987.2389071577,1,872800
4.866,-0.570230637874733,100000,84011.8111671368,0.570230637874733,873200,84739.224058889,-0.570230637874733,879590.602890412,84987.7191813052,1,-0.570230637874733,873200,84987.7191813052,1,873200
