"time","cDC1.v","cDC2.v","supplyL.inductor[2].i","supplyL.inductor[3].i"
0.032785,113.52848900822,113.52848900822,48.8067486872317,-0.000727248872794139
0.03279,113.496222574988,113.496222574988,49.165014938408,-0.000720682292230713
0.032795,113.46415219845,113.46415219845,49.5265230578203,-0.000714113933478747
0.0328,113.432279329136,113.432279329136,49.8912492248186,-0.00070754381268233
0.032805,113.400605477003,113.400605477003,50.2591685397952,-0.000700971946058703
0.03281,113.369132166266,113.369132166266,50.6302556455178,-0.000694398349855476
0.032815,113.337860875935,113.337860875935,51.0044855449676,-0.000687823040294275
0.03282,113.306793072235,113.306793072235,51.3818331554071,-0.000681246033601426
0.032825,113.275930208608,113.275930208608,51.7622733083782,-0.000674667346007991
0.03283,113.245273725712,113.245273725712,52.1457807497035,-0.000668086993749747
0.032835,113.214825051423,113.214825051423,52.5323301394838,-0.000661504993067231
0.03284,113.184585600832,113.184585600832,52.9218960521016,-0.000654921360205674
0.032845,113.154556776246,113.154556776246,53.314452976219,-0.000648336111415039
0.03285,113.124739886289,113.124739886289,53.7099766945974,-0.000641749262863811
0.032855,113.095136333629,113.09513633363,54.1084410822258,-0.000635160830839038
0.03286,113.0657474939,113.0657474939,54.5098201714757,-0.000628570831617317
0.032865,113.03657471197,113.03657471197,54.9140882156716,-0.000621979281460798
0.03287,113.007619319553,113.007619319553,55.3212193887127,-0.000615386196635988
0.032875,112.978882635214,112.978882635214,55.7311877850764,-0.000608791593413705
0.03288,112.95036596436,112.95036596436,56.1439674198161,-0.000602195488069106
0.032885,112.922070599251,112.922070599251,56.5595322285621,-0.000595597896881675
0.03289,112.89399781899,112.89399781899,56.9778560675196,-0.000588998836135254
0.032895,112.866148889529,112.866148889529,57.3989127134721,-0.000582398322117993
0.0329,112.838525001441,112.838525001441,57.8226772420245,-0.000575796371036418
0.032905,112.811127424927,112.811127424927,58.2491225943318,-0.000569192999229576
0.03291,112.783957384193,112.783957384193,58.6782223595905,-0.000562588222995461
0.032915,112.757016086146,112.757016086146,59.109950139393,-0.000555982058630678
0.03292,112.730304723881,112.730304723881,59.5442794705037,-0.000549374522435247
0.032925,112.703824476652,112.703824476652,59.9811838255013,-0.000542765630712598
0.03293,112.677576509844,112.677576509844,60.4206366134264,-0.000536155399769476
0.032935,112.651561974943,112.651561974943,60.8626111804241,-0.000529543845915929
0.03294,112.625782009505,112.625782009505,61.3070808103867,-0.000522930985465296
0.032945,112.600237737005,112.600237737005,61.7540187559243,-0.000516316834734149
0.03295,112.574930265268,112.574930265268,62.2033986050561,-0.000509701410042805
0.032955,112.549860690956,112.549860690956,62.6551932049698,-0.000503084727713769
0.03296,112.525030095451,112.525030095451,63.1093756383616,-0.000496466804073084
0.032965,112.500439546042,112.500439546042,63.5659189333514,-0.000489847655449835
0.03297,112.476090095894,112.476090095894,64.0247960643286,-0.000483227298176141
0.032975,112.451982784024,112.451982784024,64.4859799528027,-0.000476605748587103
0.03298,112.428118635262,112.428118635262,64.9494434682482,-0.000469983023020794
0.032985,112.404498660231,112.404498660231,65.4151594289582,-0.000463359137818171
0.03299,112.381123855309,112.381123855309,65.8831006028905,-0.000456734109323056
0.032995,112.357995202602,112.357995202602,66.3532397085141,-0.00045010795388213
0.033,112.335113669916,112.335113669916,66.8255494156619,-0.000443480687844833
0.033005,112.312480210724,112.312480210724,67.3000023463771,-0.000436852327563361
0.03301,112.290095764138,112.290095764138,67.7765710757622,-0.000430222889392614
0.033015,112.267961254878,112.267961254878,68.2552281328259,-0.000423592389690183
0.03302,112.246077593242,112.246077593242,68.7359460013349,-0.000416960844816264
0.033025,112.224445675076,112.224445675076,69.218697120661,-0.00041032827113364
0.03303,112.203066381747,112.203066381748,69.7034538866276,-0.000403694685007671
0.033035,112.181940580109,112.181940580109,70.1901886523621,-0.000397060102806197
0.03304,112.161069122473,112.161069122473,70.678873729142,-0.00039042454089954
0.033045,112.140452877197,112.140452877197,71.1694807329029,-0.00038378801565858
0.03305,112.120092706326,112.120092706326,71.6619810622704,-0.00037715054345611
0.033055,112.099989374137,112.099989374137,72.1563478534128,-0.000370512140672295
0.03306,112.080143677883,112.080143677883,72.6525531859067,-0.000363872823686716
0.033065,112.060556400382,112.060556400382,73.1505690962429,-0.000357232608881235
0.03307,112.041228309997,112.041228309997,73.6503675784973,-0.000350591512639901
0.033075,112.022160160613,112.022160160613,74.151920584993,-0.000343949551348945
0.03308,112.003352691613,112.003352691614,74.6552000269681,-0.000337306741396721
