"time","cp[1]","cp[2]","cp[3]","eta[1]","eta[2]","eta[3]","lambda[1]","lambda[2]","lambda[3]","rho[1]","rho[2]","rho[3]","Re_1[1]","Re_1[2]","Re_1[3]","Nu_1[1]","Nu_1[2]","Nu_1[3]","Nu_2[1]","Nu_2[2]","Nu_2[3]","Nu_3[1]","Nu_3[2]","Nu_3[3]","m_flow[1]","m_flow[2]","m_flow[3]","input_mflow_0.y","input_mflow_1.y","input_mflow_2.y"
0.095546,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,106713.110123917,106713.110123917,106713.110123917,211.844960950187,527.956652542067,3835.12908491872,216.636746521117,463.677012020797,2420.28772512848,195.236678633019,612.157377050911,4446.7714346841,0.1528736,8.39463803508772,955.46,955.46,0.564917463148162,0.615364828326633
0.095748,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,106938.71923623,106938.71923623,106938.71923623,212.203185408984,528.849413858062,3841.61419098259,217.003073767844,464.461078094129,2424.38037031852,195.569983129464,613.296643729454,4455.04717996229,0.1531968,8.41238568421053,957.48,957.48,0.565964287794317,0.616141007168856
0.09595,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,107164.328348543,107164.328348543,107164.328348543,212.56125874998,529.741798560671,3848.09656128977,217.369246478591,465.24481340741,2428.4712890169,195.903147020652,614.435597993488,4463.32065583073,0.15352,8.43013333333333,959.5,959.5,0.567010200741542,0.616915619712312
0.096152,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,107389.937460856,107389.937460856,107389.937460856,212.919181354867,530.63380760114,3854.57620275018,217.735265043684,466.02821879607,2432.56048558437,196.23617066172,615.57424058613,4471.5918676875,0.1538432,8.44788098245614,961.52,961.52,0.568055200304998,0.617688669117731
0.096354,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,107615.546573168,107615.546573168,107615.546573168,213.276953603573,531.525441926318,3861.05312224184,218.101129851643,466.811295091677,2436.64796436154,196.569054406169,616.712572247172,4479.86082090653,0.1541664,8.46562863157895,963.54,963.54,0.569099284801321,0.618460158539465
0.096556,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,107841.155685481,107841.155685481,107841.155685481,213.634575874273,532.41670247869,3867.52732661105,218.466841289199,467.594043121967,2440.733729669,196.901798605864,617.850593713104,4488.12752083775,0.1544896,8.48337628070175,965.56,965.56,0.570142452548618,0.619230091125501
0.096758,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,108066.764797794,108066.764797794,108066.764797794,213.992048543404,533.307590196402,3873.9988226726,218.832399741302,468.376463710865,2444.81778580744,197.234403611055,618.988305717133,4496.39197280725,0.1548128,8.50112392982456,967.58,967.58,0.571184701866473,0.619998470017472
0.09696,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,108292.373910106,108292.373910106,108292.373910106,214.349371985673,534.198106013292,3880.46761720998,219.197805591135,469.158557678513,2448.90013705782,197.566869770383,620.125708989207,4504.65418211745,0.155136,8.51887157894737,969.6,969.6,0.572226031075953,0.620765298350673
0.097162,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,108517.983022419,108517.983022419,108517.983022419,214.706546574068,535.088250858922,3886.93371697561,219.563059220124,469.940325841297,2452.98078768149,197.89919743089,621.262804256035,4512.91415404722,0.1554592,8.53661922807018,971.62,971.62,0.573266438499602,0.621530579254071
0.097364,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,108743.592134732,108743.592134732,108743.592134732,215.063572679876,535.9780256586,3893.39712869102,219.928161007951,470.721769011867,2457.05974192028,198.231386938033,622.399592241108,4521.17189385209,0.1557824,8.55436687719298,973.64,973.64,0.574305922461453,0.62229431585032
