"time","transformer.l2sigma.inductor[1].i","transformer.l2sigma.inductor[3].i"
0.04,131.140866753132,-241.954487171868
0.04005,127.925566929423,-242.108977973862
0.0401,124.678703472626,-242.203732148346
0.04015,121.401077302396,-242.238725995004
0.0402,118.09349724131,-242.213951074985
0.04025,114.756779442172,-242.129413601312
0.0403,111.391747099196,-241.985134269953
0.04035,107.999230464876,-241.78114864749
0.0404,104.580066673328,-241.51750721434
0.04045,101.135099358063,-241.194275030829
0.0405,97.6651783918913,-240.811531615113
0.04055,94.1711600212004,-240.369371591964
0.0406,90.6539063995685,-239.867904177377
0.04065,87.1142851989972,-239.307252765384
0.0407,83.5531698540821,-238.687555873954
0.04075,79.9714390586854,-238.008966501003
0.0408,76.3699765056132,-237.271651969859
0.04085,72.749670759991,-236.475794104688
0.0409,69.1114151447137,-235.621589434774
0.04095,65.4561073629355,-234.709248768698
0.041,61.7846492048635,-233.738996942621
0.04105,58.0979466182745,-232.711073542763
0.0411,54.3969092789793,-231.625732304217
0.04115,50.6824502762837,-230.483240757336
0.0412,46.9554861276322,-229.283880889637
0.04125,43.2169364408372,-228.027948741941
0.0413,39.4677236310079,-226.715754138396
0.04135,35.7087727173339,-225.347620693211
0.0414,31.9410112101395,-223.923886142264
0.04145,28.1653687662951,-222.444901845946
0.0415,24.3827769010023,-220.911032430005
0.04155,20.5941689541179,-219.322656540501
0.0416,16.8004797266644,-217.680166184446
0.04165,13.0026452202277,-215.983966431309
0.0417,9.20160249556107,-214.234475808816
0.04175,5.39828942333243,-212.432126106718
0.0418,1.59364441266603,-210.577362012837
0.04185,-2.21139382193284,-208.670640974321
0.0419,-6.01588642481805,-206.712433614235
0.04195,-9.81889468669612,-204.703223186569
0.042,-13.6194802940683,-202.643505136718
0.04205,-17.416705497885,-200.533787845079
0.0421,-21.209633387616,-198.374591939012
0.04215,-24.9973281166529,-196.166450041162
0.0422,-28.7788551295772,-193.909906930285
0.04225,-32.5532813923649,-191.605519508173
0.0423,-36.3196756221559,-189.253856367263
0.04235,-40.0771085080439,-186.855497535988
0.0424,-43.8246529694345,-184.411034933199
0.04245,-47.5613843659709,-181.921071789628
0.0425,-51.2863806860435,-179.386222210764
0.04255,-54.9987228584078,-176.807111760058
0.0426,-58.6974949319423,-174.18437687742
0.04265,-62.3817842761007,-171.518664610653
0.0427,-66.0506818314721,-168.810632592764
0.04275,-69.7032823797224,-166.060949120064
0.0428,-73.3386847069933,-163.270292679079
0.04285,-76.9559917764771,-160.439351609547
0.0429,-80.5543111119866,-157.568824548378
0.04295,-84.1327549087445,-154.659419834322
0.043,-87.6904401780014,-151.711855143917
0.04305,-91.2264891329176,-148.726857794513
0.0431,-94.7400293413027,-145.705164376968
0.04315,-98.2301938754671,-142.647520418118
0.0432,-101.696121538847,-139.55468022971
0.04325,-105.136957221575,-136.427407042497
0.0433,-108.551851978952,-133.266472520616
0.04335,-111.939963127213,-130.072656377481
0.0434,-115.300454770866,-126.846746763145
0.04345,-118.632497799281,-123.589539684439
0.0435,-121.935270007015,-120.301838699019
0.04355,-125.207956483008,-116.984454993609
0.0436,-128.449749801449,-113.638207166036
0.04365,-131.659850096187,-110.263920851208
0.0437,-134.837465225788,-106.862428482814
0.04375,-137.981811246517,-103.434569428962
0.0438,-141.092112393765,-99.9811895210408
0.04385,-144.167601080396,-96.5031406573513
0.0439,-147.207518573837,-93.0012810927634
0.04395,-150.211114871138,-89.476474903721
0.044,-153.177648810449,-85.9295917245792
0.04405,-156.106388404704,-82.3615066608277
0.0441,-158.996611119614,-78.773100154649
0.04415,-161.847603855197,-75.1652576061388
0.0442,-164.658663020908,-71.5388690890715
0.04425,-167.429095143322,-67.8948294378348
0.0443,-170.158216731047,-64.2340378072484
0.04435,-172.845354232073,-60.557397336759
0.0444,-175.489844716942,-56.8658152281561
0.04445,-178.091035770054,-53.1602023610581
0.0445,-180.648285534408,-49.4414730159063
0.04455,-183.160962958161,-45.7105446906663
0.0446,-185.628448191873,-41.9683379873387
0.04465,-188.050132467253,-38.2157762577396
0.0447,-190.425418063502,-34.4537853126245
0.04475,-192.753719053046,-30.6832934166863
0.0448,-195.03446104177,-26.9052309060151
0.04485,-197.26708112341,-23.1205299131592
0.0449,-199.451028467081,-19.330124265133
0.04495,-201.585764316634,-15.5349492123214
0.045,-203.670761932636,-11.7359411526628
0.04505,-205.705506728847,-7.93403740403437
0.0451,-207.689496804276,-4.13017605587437
0.04515,-209.622242716405,-0.325295665131834
0.0452,-211.503267329261,3.47966500583651
0.04525,-213.332106687785,7.28376712026067
0.0453,-215.108309637269,11.0860720665247
0.04535,-216.831437786981,14.8856416917312
0.0454,-218.501065957773,18.6815385114287
0.04545,-220.116782320593,22.4728259399103
0.0455,-221.678188228653,26.2585685331765
0.04555,-223.184898227925,30.0378322169108
0.0456,-224.636540724133,33.8096845161179
0.04565,-226.03275765281,37.573194788022
0.0457,-227.373204215609,41.3274344256958
0.04575,-228.657549848412,45.0714771377058
0.0458,-229.885477745277,48.8043991465667
0.04585,-231.056684831006,52.5252793977516
0.0459,-232.170882042473,56.233199810858
0.04595,-233.227794618581,59.9272455318235
0.046,-234.227161823474,63.6065051165075
0.04605,-235.168736825662,67.270070720873
0.0461,-236.052287486489,70.9170384469119
0.04615,-236.877595910049,74.5465084825904
0.0462,-237.644458206759,78.1575852543224
0.04625,-238.352685262115,81.749377805282
0.0463,-239.002102445509,85.3209999427546
0.04635,-239.592549461996,88.8715704057017
0.0464,-240.123880481464,92.4002131054046
0.04645,-240.595964575454,95.9060574499343
0.0465,-241.008685339181,99.3882384477936
0.04655,-241.361940643379,102.845896829249
0.0466,-241.655643519538,106.278179531131
0.04665,-241.889721605115,109.684239726316
0.0467,-242.064116940727,113.063236945992
0.04675,-242.178786518588,116.414337481953
0.0468,-242.233702182354,119.736714553097
0.04685,-242.228850363442,123.029548404383
0.0469,-242.164232058402,126.292026496469
0.04695,-242.039863393668,129.523343938854
0.047,-241.855775159887,132.722703499437
0.04705,-241.612012448639,135.889315633826
0.0471,-241.308635601272,139.02239911891
0.04715,-240.945719570255,142.121180962181
0.0472,-240.523353751076,145.184896510691
0.04725,-240.041642306564,148.212789814324
0.0473,-239.500704245783,151.204113865834
0.04735,-238.900673057396,154.158130611414
0.0474,-238.241696545564,157.074111057919
0.04745,-237.523937492424,159.951335836585
