"time","SourceP1.ports[1].m_flow","SourceP1.ports[1].p","SourceP1.ports[1].h_outflow","V1.port_b.m_flow","V1.port_b.p","V1.port_b.h_outflow","V1.minLimiter.y","SinkP1.ports[1].m_flow","SinkP1.ports[1].p","SinkP1.ports[1].h_outflow","Opening.y","downstreamPressure.y"
0.110696,-0.187647456639628,1000000,3264385.32408016,-0.187647456639628,713745.828918364,3264385.32408016,1,0.187647456639628,713745.828918364,3268925.38796901,1,713745.828918364
0.110898,-0.187754267625325,1000000,3264385.32408016,-0.187754267625325,713127.774991322,3264385.32408016,1,0.187754267625325,713127.774991322,3268935.15109463,1,713127.774991322
0.1111,-0.18786068595707,1000000,3264385.32408016,-0.18786068595707,712509.538829335,3264385.32408016,1,0.18786068595707,712509.538829335,3268944.91693091,1,712509.538829335
0.111302,-0.187966712125199,1000000,3264385.32408016,-0.187966712125199,711891.121428304,3264385.32408016,1,0.187966712125199,711891.121428304,3268954.68546198,1,711891.121428304
0.111504,-0.188072346619236,1000000,3264385.32408016,-0.188072346619236,711272.523784423,3264385.32408016,1,0.188072346619236,711272.523784423,3268964.45667197,1,711272.523784423
0.111706,-0.188177589927905,1000000,3264385.32408016,-0.188177589927905,710653.746894179,3264385.32408016,1,0.188177589927905,710653.746894179,3268974.23054501,1,710653.746894179
0.111908,-0.188282442539134,1000000,3264385.32408016,-0.188282442539134,710034.791754343,3264385.32408016,1,0.188282442539134,710034.791754343,3268984.0070652,1,710034.791754343
0.11211,-0.188386904940074,1000000,3264385.32408016,-0.188386904940074,709415.659361977,3264385.32408016,1,0.188386904940074,709415.659361977,3268993.78621668,1,709415.659361977
0.112312,-0.188490977617102,1000000,3264385.32408016,-0.188490977617102,708796.350714428,3264385.32408016,1,0.188490977617102,708796.350714428,3269003.56798355,1,708796.350714428
0.112514,-0.188594661055837,1000000,3264385.32408016,-0.188594661055837,708176.866809324,3264385.32408016,1,0.188594661055837,708176.866809324,3269013.35234992,1,708176.866809324
0.112716,-0.188697955741145,1000000,3264385.32408016,-0.188697955741145,707557.20864458,3264385.32408016,1,0.188697955741145,707557.20864458,3269023.13929991,1,707557.20864458
0.112918,-0.188800862157153,1000000,3264385.32408016,-0.188800862157153,706937.377218387,3264385.32408016,1,0.188800862157153,706937.377218387,3269032.92881761,1,706937.377218387
0.11312,-0.188903380787257,1000000,3264385.32408016,-0.188903380787257,706317.373529218,3264385.32408016,1,0.188903380787257,706317.373529218,3269042.72088712,1,706317.373529218
0.113322,-0.189005512114134,1000000,3264385.32408016,-0.189005512114134,705697.198575823,3264385.32408016,1,0.189005512114134,705697.198575823,3269052.51549254,1,705697.198575823
0.113524,-0.189107256619747,1000000,3264385.32408016,-0.189107256619747,705076.853357227,3264385.32408016,1,0.189107256619747,705076.853357227,3269062.31261797,1,705076.853357227
0.113726,-0.189208614785361,1000000,3264385.32408016,-0.189208614785361,704456.338872731,3264385.32408016,1,0.189208614785361,704456.338872731,3269072.11224749,1,704456.338872731
0.113928,-0.18930958709155,1000000,3264385.32408016,-0.18930958709155,703835.656121907,3264385.32408016,1,0.18930958709155,703835.656121907,3269081.9143652,1,703835.656121907
0.11413,-0.189410174018202,1000000,3264385.32408016,-0.189410174018202,703214.806104598,3264385.32408016,1,0.189410174018202,703214.806104598,3269091.71895517,1,703214.806104598
