"time","loadInertia.phi","loadInertia.w","smr.idq_rr[1]","smr.idq_rr[2]","smr.idq_sr[1]","smr.idq_sr[2]","vfController.x"
0.545,19.8917062383475,84.1337445562802,-17.6310852286819,26.6853654771434,-20.2024702861644,-103.83547412628,46.656577896632
0.54505,19.8959131311673,84.1419681580049,-17.6315725537267,26.6748940564496,-20.1981545277028,-103.843047203776,46.6651391293121
0.5451,19.9001204351598,84.1501914714156,-17.6320541265129,26.6644345927527,-20.1938445156922,-103.850625596268,46.6737011473904
0.54515,19.9043281503106,84.1584144967369,-17.632529960462,26.6539870313465,-20.1895402377208,-103.858209254337,46.6822639508668
0.5452,19.9085362766052,84.1666372341892,-17.6330000691466,26.6435513178083,-20.18524168122,-103.865798128822,46.6908275397414
0.54525,19.9127448140302,84.1748596839714,-17.6334644655045,26.6331273926619,-20.1809488344121,-103.873392165298,46.6993919140142
0.5453,19.916953762571,84.1830818463019,-17.6339231636571,26.6227152037588,-20.1766616841162,-103.880991316896,46.7079570736851
0.54535,19.9211631222127,84.191303721396,-17.6343761779043,26.6123146994479,-20.1723802169608,-103.888595537231,46.7165230187542
0.5454,19.925372892941,84.1995253094583,-17.6348235223855,26.6019258262765,-20.1681044197922,-103.896204778019,46.7250897492214
0.54545,19.9295830747415,84.2077466106893,-17.6352652113833,26.5915485310678,-20.1638342793077,-103.903818991229,46.7336572650869
0.5455,19.9337936675999,84.2159676252859,-17.6357012593224,26.5811827609219,-20.159569782057,-103.911438129088,46.7422255663505
0.54555,19.9380046715019,84.2241883534412,-17.6361316807686,26.5708284632154,-20.1553109144429,-103.919062144076,46.7507946530122
0.5456,19.9422160864331,84.2324087953445,-17.6365564904269,26.5604855856015,-20.1510576627229,-103.926690988928,46.7593645250721
0.54565,19.9464279123793,84.2406289511816,-17.6369757031411,26.5501540760109,-20.1468100130106,-103.934324616637,46.7679351825302
0.5457,19.9506401493261,84.2488488211344,-17.6373893338918,26.5398338826512,-20.1425679512766,-103.94196298045,46.7765066253864
0.54575,19.9548527972592,84.2570684053814,-17.6377973977954,26.5295249540076,-20.1383314633501,-103.949606033873,46.7850788536408
0.5458,19.9590658561643,84.2652877040973,-17.6381999101031,26.5192272388426,-20.1341005349197,-103.957253730667,46.7936518672934
0.54585,19.9632793260272,84.2735067174534,-17.638596886199,26.5089406861967,-20.129875151535,-103.964906024852,46.8022256663441
0.5459,19.9674932068335,84.2817254456175,-17.6389883415996,26.4986652453882,-20.125655298608,-103.972562870704,46.810800250793
0.54595,19.971707498569,84.2899438887538,-17.6393742919517,26.4884008660136,-20.1214409614136,-103.98022422276,46.8193756206401
0.546,19.9759222012195,84.2981620470232,-17.639754753032,26.4781474979475,-20.1172321250919,-103.987890035812,46.8279517758853
0.54605,19.9801373147706,84.306379920583,-17.6401297407451,26.4679050913433,-20.1130287746486,-103.995560264914,46.8365287165287
0.5461,19.9843528392082,84.3145975095873,-17.6404992711228,26.4576735966328,-20.1088308949564,-104.003234865378,46.8451064425702
0.54615,19.9885687745179,84.3228148141867,-17.6408633603222,26.4474529645267,-20.1046384707569,-104.010913792775,46.8536849540099
0.5462,19.9927851206856,84.3310318345287,-17.6412220246253,26.4372431460145,-20.1004514866608,-104.018597002937,46.8622642508478
0.54625,19.9970018776972,84.33924857075,-17.6415752803846,26.4270440911244,-20.0962699272406,-104.026284450656,46.8708443330838
0.5463,20.0012190455395,84.3474650229614,-17.6419231439128,26.4168557463114,-20.0920937772225,-104.03397608694,46.879425200718
0.54635,20.0054366241973,84.3556811913291,-17.6422656320599,26.4066780682244,-20.0879230204815,-104.041671873462,46.8880068537504
0.5464,20.0096546136564,84.3638970759866,-17.6426027615863,26.3965110088202,-20.0837576411307,-104.04937176694,46.8965892921809
0.54645,20.0138730139027,84.3721126770643,-17.6429345493701,26.3863545203274,-20.0795976231597,-104.057075724345,46.9051725160096
0.5465,20.018091824922,84.3803279946896,-17.6432610124058,26.3762085552463,-20.0754429504356,-104.064783702902,46.9137565252365
0.54655,20.0223110467,84.3885430289865,-17.6435821678031,26.3660730663491,-20.0712936067047,-104.07249566009,46.9223413198615
0.5466,20.0265306792227,84.3967577800762,-17.6438980327856,26.3559480066799,-20.0671495755935,-104.080211553642,46.9309268998847
0.54665,20.0307507224759,84.4049722480767,-17.6442086246897,26.3458333295544,-20.06301084061,-104.087931341544,46.939513265306
0.5467,20.0349711764454,84.413186433103,-17.6445139609629,26.3357289885604,-20.0588773851451,-104.095654982039,46.9481004161255
0.54675,20.039192041117,84.4214003352671,-17.6448140591629,26.3256349375571,-20.0547491924737,-104.103382433621,46.9566883523432
0.5468,20.0434133164766,84.4296139546782,-17.6451089369562,26.3155511306758,-20.0506262457558,-104.111113655043,46.965277073959
0.54685,20.0476350025101,84.4378272914423,-17.645398612117,26.3054775223195,-20.0465085280383,-104.11884860531,46.973866580973
0.5469,20.0518570992033,84.4460403456628,-17.6456831025255,26.2954140671627,-20.0423960222559,-104.126587243682,46.9824568733852
0.54695,20.056079606542,84.4542531174402,-17.6459624261669,26.285360720152,-20.0382887112321,-104.134329529677,46.9910479511955
0.547,20.0603025245122,84.4624656068721,-17.6462366011303,26.2753174365056,-20.034186577681,-104.142075423066,46.999639814404
0.54705,20.0645258530997,84.4706778140532,-17.6465056456072,26.2652841717134,-20.0300896042084,-104.149824883875,47.0082324630106
0.5471,20.0687495922904,84.4788897390759,-17.6467695778901,26.2552608815372,-20.0259977733127,-104.15757787239,47.0168258970154
0.54715,20.0729737420701,84.4871013820294,-17.6470284163715,26.2452475220103,-20.0219110673868,-104.165334349148,47.0254201164184
0.5472,20.0771983024248,84.4953127430004,-17.6472821795424,26.2352440494378,-20.0178294687187,-104.173094274946,47.0340151212196
0.54725,20.0814232733402,84.5035238220732,-17.6475308859914,26.2252504203966,-20.0137529594932,-104.180857610835,47.0426109114189
0.5473,20.0856486548033,84.5117346192916,-17.6477745547142,26.215266587398,-20.0096815216196,-104.188624313512,47.0512074870163
0.54735,20.0898744467995,84.519945134744,-17.6480132044125,26.2052925086445,-20.005615137123,-104.196394345692,47.059804848012
0.5474,20.0941006493144,84.5281553685223,-17.6482468538295,26.1953281433314,-20.001553787958,-104.204167671117,47.0684029944057
0.54745,20.0983272623341,84.5363653206991,-17.6484755219404,26.1853734489807,-19.997497455903,-104.211944251714,47.0770019261977
0.5475,20.1025542858443,84.5445749913444,-17.648699227812,26.1754283833785,-19.9934461226392,-104.219724049663,47.0856016433878
0.54755,20.106781719831,84.5527843805258,-17.6489179906012,26.1654929045751,-19.9893997697516,-104.22750702739,47.0942021459761
0.5476,20.1110095642801,84.5609934883086,-17.6491318295538,26.1555669708843,-19.9853583787304,-104.235293147572,47.1028034339625
0.54765,20.1152378191776,84.5692023147552,-17.6493407640036,26.145650540884,-19.9813219309724,-104.243082373137,47.1114055073472
0.5477,20.1194664845094,84.577410859926,-17.6495448133704,26.1357435734153,-19.977290407782,-104.250874667259,47.12000836613
0.54775,20.1236955602613,84.5856191238788,-17.6497439971597,26.1258460275827,-19.9732637903725,-104.258669993363,47.1286120103109
0.5478,20.1279250464194,84.5938271066691,-17.6499383349606,26.1159578627536,-19.9692420598675,-104.266468315125,47.13721643989
0.54785,20.1321549429696,84.6020348083501,-17.6501278464449,26.1060790385588,-19.9652251973021,-104.274269596468,47.1458216548672
0.5479,20.1363852498978,84.6102422289729,-17.6503125513658,26.0962095148914,-19.961213183624,-104.282073801564,47.1544276552427
0.54795,20.1406159671899,84.6184493685859,-17.6504924695567,26.0863492519074,-19.957205999695,-104.289880894838,47.1630344410163
0.548,20.1448470948319,84.6266562272357,-17.6506676209299,26.0764982100251,-19.9532036262921,-104.29769084096,47.171642012188
0.54805,20.1490786328097,84.6348628049665,-17.6508380254752,26.0666563499251,-19.9492060441088,-104.305503604851,47.1802503687579
0.5481,20.1533105811092,84.6430691018206,-17.6510037032589,26.0568236325498,-19.9452132337563,-104.313319151684,47.188859510726
0.54815,20.1575429397165,84.6512751178377,-17.6511646744222,26.0470000191038,-19.9412251757648,-104.321137446877,47.1974694380923
0.5482,20.1617757086173,84.6594808530559,-17.6513209591802,26.0371854710532,-19.9372418505848,-104.3289584561,47.2060801508567
0.54825,20.1660088877978,84.667686307511,-17.6514725778207,26.0273799501258,-19.9332632385883,-104.336782145271,47.2146916490192
0.5483,20.1702424772439,84.6758914812269,-17.6516195508728,26.0175834174546,-19.9292893199276,-104.344608479637,47.22330393258
0.54835,20.1744764769426,84.6840963741828,-17.6517618996612,26.0077958307889,-19.9253200740728,-104.352437420754,47.2319170015389
0.5484,20.1787108868789,84.6923009864567,-17.6518996438655,25.9980171567524,-19.9213554818521,-104.360268939729,47.2405308558959
0.54845,20.1829457070389,84.700505318075,-17.6520328040755,25.9882473579928,-19.9173955233155,-104.368103003346,47.2491454956512
0.5485,20.1871809374084,84.7087093690622,-17.652161400949,25.9784863974121,-19.9134401784395,-104.375939578627,47.2577609208045
0.54855,20.1914165779734,84.7169131394408,-17.6522854552097,25.9687342381655,-19.9094894271287,-104.383778632841,47.2663771313561
0.5486,20.19565262872,84.7251166292316,-17.6524049876468,25.9589908436617,-19.9055432492168,-104.391620133494,47.2749941273058
0.54865,20.199889089634,84.7333198384533,-17.6525200191132,25.9492561775626,-19.9016016244678,-104.399464048338,47.2836119086537
0.5487,20.2041259607015,84.7415227671229,-17.6526305705245,25.9395302037823,-19.8976645325773,-104.407310345363,47.2922304753997
